"Date","Average_by_day_and_year","watershed"
2015-03-26,0.299833333333333,"Githambara(T)"
2015-03-27,0.295354166666667,"Githambara(T)"
2015-03-28,0.307645833333333,"Githambara(T)"
2015-03-29,0.309916666666667,"Githambara(T)"
2015-03-30,0.3075625,"Githambara(T)"
2015-03-31,0.298541666666667,"Githambara(T)"
2015-04-01,0.303854166666667,"Githambara(T)"
2015-04-02,0.294604166666667,"Githambara(T)"
2015-04-03,0.302020833333333,"Githambara(T)"
2015-04-04,0.303104166666667,"Githambara(T)"
2015-04-05,0.375666666666667,"Githambara(T)"
2015-04-06,0.31875,"Githambara(T)"
2015-04-07,0.2951875,"Githambara(T)"
2015-04-08,0.283,"Githambara(T)"
2015-04-09,0.336333333333333,"Githambara(T)"
2015-04-10,0.298625,"Githambara(T)"
2015-04-11,0.2989375,"Githambara(T)"
2015-04-12,0.300520833333333,"Githambara(T)"
2015-04-13,0.294458333333333,"Githambara(T)"
2015-04-14,0.279833333333333,"Githambara(T)"
2015-04-15,0.282291666666667,"Githambara(T)"
2015-04-16,0.314041666666667,"Githambara(T)"
2015-04-17,0.37825,"Githambara(T)"
2015-04-18,0.355979166666667,"Githambara(T)"
2015-04-19,0.309375,"Githambara(T)"
2015-04-20,0.298104166666667,"Githambara(T)"
2015-04-21,0.302354166666667,"Githambara(T)"
2015-04-22,0.427916666666667,"Githambara(T)"
2015-04-23,0.3825,"Githambara(T)"
2015-04-24,0.4603125,"Githambara(T)"
2015-04-25,0.370083333333333,"Githambara(T)"
2015-04-26,0.347979166666667,"Githambara(T)"
2015-04-27,0.459604166666667,"Githambara(T)"
2015-04-28,0.3778125,"Githambara(T)"
2015-04-29,0.367625,"Githambara(T)"
2015-04-30,0.383479166666667,"Githambara(T)"
2015-05-01,0.385208333333333,"Githambara(T)"
2015-05-02,0.468541666666667,"Githambara(T)"
2015-05-03,0.4126875,"Githambara(T)"
2015-05-04,0.440479166666667,"Githambara(T)"
2015-05-05,0.438354166666667,"Githambara(T)"
2015-05-06,0.412645833333333,"Githambara(T)"
2015-05-07,0.406770833333333,"Githambara(T)"
2015-05-08,0.406354166666667,"Githambara(T)"
2015-05-09,0.455958333333333,"Githambara(T)"
2015-05-10,0.388520833333333,"Githambara(T)"
2015-05-11,0.443229166666667,"Githambara(T)"
2015-05-12,0.421416666666667,"Githambara(T)"
2015-05-13,0.430041666666667,"Githambara(T)"
2015-05-14,0.480916666666667,"Githambara(T)"
2015-05-15,0.424395833333333,"Githambara(T)"
2015-05-16,0.425375,"Githambara(T)"
2015-05-17,0.416333333333333,"Githambara(T)"
2015-05-18,0.420020833333333,"Githambara(T)"
2015-05-19,0.42325,"Githambara(T)"
2015-05-20,0.422375,"Githambara(T)"
2015-05-21,0.427375,"Githambara(T)"
2015-05-22,0.432729166666667,"Githambara(T)"
2015-05-23,0.4320625,"Githambara(T)"
2015-05-24,0.4164375,"Githambara(T)"
2015-05-25,0.4141875,"Githambara(T)"
2015-05-26,0.4150625,"Githambara(T)"
2015-05-27,0.4121875,"Githambara(T)"
2015-05-28,0.407791666666667,"Githambara(T)"
2015-05-29,0.405145833333333,"Githambara(T)"
2015-05-30,0.43175,"Githambara(T)"
2015-05-31,0.475395833333333,"Githambara(T)"
2015-06-01,0.513083333333333,"Githambara(T)"
2015-06-02,0.49575,"Githambara(T)"
2015-06-03,0.463916666666667,"Githambara(T)"
2015-06-04,0.445395833333333,"Githambara(T)"
2015-06-05,0.456625,"Githambara(T)"
2015-06-06,0.482020833333333,"Githambara(T)"
2015-06-07,0.457208333333333,"Githambara(T)"
2015-06-08,0.4551875,"Githambara(T)"
2015-06-09,0.45875,"Githambara(T)"
2015-06-10,0.458104166666667,"Githambara(T)"
2015-06-11,0.458833333333333,"Githambara(T)"
2015-06-12,0.4609375,"Githambara(T)"
2015-06-13,0.4184375,"Githambara(T)"
2015-06-14,0.371291666666667,"Githambara(T)"
2015-06-15,0.3656875,"Githambara(T)"
2015-06-16,0.365083333333333,"Githambara(T)"
2015-06-17,0.358395833333333,"Githambara(T)"
2015-06-18,0.367541666666667,"Githambara(T)"
2015-06-19,0.3665625,"Githambara(T)"
2015-06-20,0.3669375,"Githambara(T)"
2015-06-21,0.367708333333333,"Githambara(T)"
2015-06-22,0.371291666666667,"Githambara(T)"
2015-06-23,0.367020833333333,"Githambara(T)"
2015-06-24,0.385104166666667,"Githambara(T)"
2015-06-25,0.3926875,"Githambara(T)"
2015-06-26,0.392625,"Githambara(T)"
2015-06-27,0.390395833333333,"Githambara(T)"
2015-06-28,0.39125,"Githambara(T)"
2015-06-29,0.3881875,"Githambara(T)"
2015-06-30,0.374416666666667,"Githambara(T)"
2015-07-01,0.369625,"Githambara(T)"
2015-07-02,0.367958333333333,"Githambara(T)"
2015-07-03,0.373854166666667,"Githambara(T)"
2015-07-04,0.377208333333333,"Githambara(T)"
2015-07-05,0.379375,"Githambara(T)"
2015-07-06,0.3869375,"Githambara(T)"
2015-07-07,0.384375,"Githambara(T)"
2015-07-08,0.370791666666667,"Githambara(T)"
2015-07-09,0.384020833333333,"Githambara(T)"
2015-07-10,0.387770833333333,"Githambara(T)"
2015-07-11,0.3825,"Githambara(T)"
2015-07-12,0.378416666666667,"Githambara(T)"
2015-07-13,0.3659375,"Githambara(T)"
2015-07-14,0.3841875,"Githambara(T)"
2015-07-15,0.391583333333333,"Githambara(T)"
2015-07-16,0.3735625,"Githambara(T)"
2015-07-17,0.368708333333333,"Githambara(T)"
2015-07-18,0.375104166666667,"Githambara(T)"
2015-07-19,0.395479166666667,"Githambara(T)"
2015-07-20,0.37975,"Githambara(T)"
2015-07-21,0.386458333333333,"Githambara(T)"
2015-07-22,0.391270833333333,"Githambara(T)"
2015-07-23,0.378041666666667,"Githambara(T)"
2015-07-24,0.379291666666667,"Githambara(T)"
2015-07-25,0.379458333333333,"Githambara(T)"
2015-07-26,0.370354166666667,"Githambara(T)"
2015-07-27,0.3620625,"Githambara(T)"
2015-07-28,0.377583333333333,"Githambara(T)"
2015-07-29,0.372541666666667,"Githambara(T)"
2015-07-30,0.377166666666667,"Githambara(T)"
2015-07-31,0.3514375,"Githambara(T)"
2015-08-01,0.353666666666667,"Githambara(T)"
2015-08-02,0.372041666666667,"Githambara(T)"
2015-08-03,0.377145833333333,"Githambara(T)"
2015-08-04,0.378416666666667,"Githambara(T)"
2015-08-05,0.367958333333333,"Githambara(T)"
2015-08-06,0.365270833333333,"Githambara(T)"
2015-08-07,0.373229166666667,"Githambara(T)"
2015-08-08,0.390270833333333,"Githambara(T)"
2015-08-09,0.389229166666667,"Githambara(T)"
2015-08-10,0.3686875,"Githambara(T)"
2015-08-11,0.384791666666667,"Githambara(T)"
2015-08-12,0.380083333333333,"Githambara(T)"
2015-08-13,0.363041666666667,"Githambara(T)"
2015-08-14,0.368104166666667,"Githambara(T)"
2015-08-15,0.370604166666667,"Githambara(T)"
2015-08-16,0.379354166666667,"Githambara(T)"
2015-08-17,0.36625,"Githambara(T)"
2015-08-18,0.3554375,"Githambara(T)"
2015-08-19,0.353,"Githambara(T)"
2015-08-20,0.3659375,"Githambara(T)"
2015-08-21,0.373895833333333,"Githambara(T)"
2015-08-22,0.36775,"Githambara(T)"
2015-08-23,0.377,"Githambara(T)"
2015-08-24,0.370583333333333,"Githambara(T)"
2015-08-25,0.377875,"Githambara(T)"
2015-08-26,0.378125,"Githambara(T)"
2015-08-27,0.366979166666667,"Githambara(T)"
2015-08-28,0.3626875,"Githambara(T)"
2015-08-29,0.379270833333333,"Githambara(T)"
2015-08-30,0.371395833333333,"Githambara(T)"
2015-08-31,0.387833333333333,"Githambara(T)"
2015-09-01,0.390375,"Githambara(T)"
2015-09-02,0.3940625,"Githambara(T)"
2015-09-03,0.382375,"Githambara(T)"
2015-09-04,0.394145833333333,"Githambara(T)"
2015-09-05,0.377791666666667,"Githambara(T)"
2015-09-06,0.359229166666667,"Githambara(T)"
2015-09-07,0.352104166666667,"Githambara(T)"
2015-09-08,0.34925,"Githambara(T)"
2015-09-09,0.347,"Githambara(T)"
2015-09-10,0.35325,"Githambara(T)"
2015-09-11,0.353083333333333,"Githambara(T)"
2015-09-12,0.365020833333333,"Githambara(T)"
2015-09-13,0.374854166666667,"Githambara(T)"
2015-09-14,0.379479166666667,"Githambara(T)"
2015-09-15,0.378520833333333,"Githambara(T)"
2015-09-16,0.359229166666667,"Githambara(T)"
2015-09-17,0.349895833333333,"Githambara(T)"
2015-09-18,0.355333333333333,"Githambara(T)"
2015-09-19,0.359520833333333,"Githambara(T)"
2015-09-20,0.367708333333333,"Githambara(T)"
2015-09-21,0.3605,"Githambara(T)"
2015-09-22,0.368583333333333,"Githambara(T)"
2015-09-23,0.376125,"Githambara(T)"
2015-09-24,0.352125,"Githambara(T)"
2015-09-25,0.329375,"Githambara(T)"
2015-09-26,0.319895833333333,"Githambara(T)"
2015-09-27,0.326458333333333,"Githambara(T)"
2015-09-28,0.326166666666667,"Githambara(T)"
2015-09-29,0.312458333333333,"Githambara(T)"
2015-09-30,0.310291666666667,"Githambara(T)"
2015-10-01,0.311770833333333,"Githambara(T)"
2015-10-02,0.324125,"Githambara(T)"
2015-10-03,0.353354166666667,"Githambara(T)"
2015-10-04,0.388833333333333,"Githambara(T)"
2015-10-05,0.3956875,"Githambara(T)"
2015-10-06,0.367,"Githambara(T)"
2015-10-07,0.3715625,"Githambara(T)"
2015-10-08,0.359,"Githambara(T)"
2015-10-09,0.3549375,"Githambara(T)"
2015-10-10,0.348520833333333,"Githambara(T)"
2015-10-11,0.359229166666667,"Githambara(T)"
2015-10-12,0.364541666666667,"Githambara(T)"
2015-10-13,0.379041666666667,"Githambara(T)"
2015-10-14,0.3590625,"Githambara(T)"
2015-10-15,0.348895833333333,"Githambara(T)"
2015-10-16,0.362604166666667,"Githambara(T)"
2015-10-17,0.38275,"Githambara(T)"
2015-10-18,0.3000625,"Githambara(T)"
2015-10-19,0.265875,"Githambara(T)"
2015-10-20,0.248375,"Githambara(T)"
2015-10-21,0.2346875,"Githambara(T)"
2015-10-22,0.237208333333333,"Githambara(T)"
2015-10-23,0.270979166666667,"Githambara(T)"
2015-10-24,0.289979166666667,"Githambara(T)"
2015-10-25,0.252666666666667,"Githambara(T)"
2015-10-26,0.246,"Githambara(T)"
2015-10-27,0.2380625,"Githambara(T)"
2015-10-28,0.254458333333333,"Githambara(T)"
2015-10-29,0.2705625,"Githambara(T)"
2015-10-30,0.2663125,"Githambara(T)"
2015-10-31,0.280395833333333,"Githambara(T)"
2015-11-01,0.266208333333333,"Githambara(T)"
2015-11-02,0.256166666666667,"Githambara(T)"
2015-11-03,0.260541666666667,"Githambara(T)"
2015-11-04,0.269375,"Githambara(T)"
2015-11-05,0.344583333333333,"Githambara(T)"
2015-11-06,0.299,"Githambara(T)"
2015-11-07,0.2755,"Githambara(T)"
2015-11-08,0.277104166666667,"Githambara(T)"
2015-11-09,0.312791666666667,"Githambara(T)"
2015-11-10,0.4254375,"Githambara(T)"
2015-11-11,0.487625,"Githambara(T)"
2015-11-12,0.3928125,"Githambara(T)"
2015-11-13,0.322083333333333,"Githambara(T)"
2015-11-14,0.390291666666667,"Githambara(T)"
2015-11-15,0.327291666666667,"Githambara(T)"
2015-11-16,0.350145833333333,"Githambara(T)"
2015-11-17,0.344958333333333,"Githambara(T)"
2015-11-18,0.335770833333333,"Githambara(T)"
2015-11-19,0.35575,"Githambara(T)"
2015-11-20,0.357395833333333,"Githambara(T)"
2015-11-21,0.350333333333333,"Githambara(T)"
2015-11-22,0.357270833333333,"Githambara(T)"
2015-11-23,0.353333333333333,"Githambara(T)"
2015-11-24,0.3245,"Githambara(T)"
2015-11-25,0.3241875,"Githambara(T)"
2015-11-26,0.342958333333333,"Githambara(T)"
2015-11-27,0.337770833333333,"Githambara(T)"
2015-11-28,0.345020833333333,"Githambara(T)"
2015-11-29,0.384604166666667,"Githambara(T)"
2015-11-30,0.525479166666667,"Githambara(T)"
2015-12-01,0.398229166666667,"Githambara(T)"
2015-12-02,0.402375,"Githambara(T)"
2015-12-03,0.404541666666667,"Githambara(T)"
