Station Name,Date sampled,Time Sampled,GaugeHeight (m),Turbidity (NTU),TSS (mg/l)
Githambara,12/20/19,9:58,0.14,36.23,21.80
Githambara,12/19/19,15:37,0.12,53.00,37.00
Githambara,12/18/19,11:15,0.12,63.00,41.80
Githambara,12/17/19,10:40,0.12,74.00,50.40
Githambara,12/9/19,16:20,0.16,204.00,82.40
Githambara,10/16/19,,0.46,24.30,10.00
Githambara,10/15/19,,0.48,998.67,35.00
Githambara,6/8/19,,0.14,95.00,56.60
Githambara,6/8/19,,0.13,87.00,76.00
Githambara,6/8/19,,0.14,83.00,42.20
Githambara,6/8/19,,0.13,50.00,40.80
Githambara,6/8/19,,0.12,32.31,22.80
Githambara,6/8/19,,0.12,24.94,18.80
Githambara,6/8/19,,0.12,23.09,15.20
Githambara,6/8/19,,0.12,22.27,17.60
Githambara,6/8/19,,0.12,21.54,12.40
Githambara,6/8/19,,0.10,19.81,15.00
Githambara,6/8/19,,0.12,16.65,11.40
Githambara,6/8/19,,0.09,10.56,4.80
Githambara,6/7/19,,0.14,52.00,38.80
Githambara,6/7/19,,0.14,45.21,15.20
Githambara,6/7/19,,0.14,40.72,16.40
Githambara,6/7/19,,0.14,33.04,10.40
Githambara,6/7/19,,0.14,29.73,8.60
Githambara,6/7/19,,0.14,25.36,7.20
Githambara,6/7/19,,0.14,21.29,2.80
Githambara,6/7/19,,0.14,21.18,4.00
Githambara,6/7/19,,0.13,20.52,3.00
Githambara,6/7/19,,0.13,17.37,5.80
Githambara,6/7/19,,0.14,16.58,2.60
Githambara,6/7/19,,0.13,13.41,1.80
Githambara,6/6/19,,0.13,45.69,11.80
Githambara,6/6/19,,0.13,25.17,3.60
Githambara,6/6/19,,,22.04,11.00
Githambara,6/6/19,,0.13,20.88,8.60
Githambara,6/6/19,,0.13,20.16,10.80
Githambara,6/6/19,,0.11,19.63,6.80
Githambara,6/6/19,,0.13,19.57,8.80
Githambara,6/6/19,,0.13,19.09,9.00
Githambara,6/6/19,,0.11,18.92,3.40
Githambara,6/6/19,,0.13,12.08,6.20
Githambara,6/6/19,,0.13,11.66,6.40
Githambara,6/6/19,,0.13,9.43,9.20
