"Date","waterLevel","watershed","DDate","week","wday","year"
2015-03-26,0.46,"Karurumo(C)",2015-03-26,13,4,2015
2015-03-27,0.452020833333333,"Karurumo(C)",2015-03-27,13,5,2015
2015-03-28,0.463583333333333,"Karurumo(C)",2015-03-28,13,6,2015
2015-03-29,0.4929375,"Karurumo(C)",2015-03-29,13,0,2015
2015-03-30,0.471041666666667,"Karurumo(C)",2015-03-30,14,1,2015
2015-03-31,0.455479166666667,"Karurumo(C)",2015-03-31,14,2,2015
2015-04-01,0.448166666666667,"Karurumo(C)",2015-04-01,14,3,2015
2015-04-02,0.435583333333333,"Karurumo(C)",2015-04-02,14,4,2015
2015-04-03,0.4384375,"Karurumo(C)",2015-04-03,14,5,2015
2015-04-04,0.44875,"Karurumo(C)",2015-04-04,14,6,2015
2015-04-05,0.53725,"Karurumo(C)",2015-04-05,14,0,2015
2015-04-06,0.489604166666667,"Karurumo(C)",2015-04-06,15,1,2015
2015-04-07,0.463416666666667,"Karurumo(C)",2015-04-07,15,2,2015
2015-04-08,0.445604166666667,"Karurumo(C)",2015-04-08,15,3,2015
2015-04-09,0.5430625,"Karurumo(C)",2015-04-09,15,4,2015
2015-04-10,0.500041666666667,"Karurumo(C)",2015-04-10,15,5,2015
2015-04-11,0.48275,"Karurumo(C)",2015-04-11,15,6,2015
2015-04-12,0.4766875,"Karurumo(C)",2015-04-12,15,0,2015
2015-04-13,0.467125,"Karurumo(C)",2015-04-13,16,1,2015
2015-04-14,0.4434375,"Karurumo(C)",2015-04-14,16,2,2015
2015-04-15,0.4380625,"Karurumo(C)",2015-04-15,16,3,2015
2015-04-16,0.461895833333333,"Karurumo(C)",2015-04-16,16,4,2015
2015-04-17,0.523270833333333,"Karurumo(C)",2015-04-17,16,5,2015
2015-04-18,0.571583333333333,"Karurumo(C)",2015-04-18,16,6,2015
2015-04-19,0.5126875,"Karurumo(C)",2015-04-19,16,0,2015
2015-04-20,0.506895833333333,"Karurumo(C)",2015-04-20,17,1,2015
2015-04-21,0.514,"Karurumo(C)",2015-04-21,17,2,2015
2015-04-22,0.838354166666667,"Karurumo(C)",2015-04-22,17,3,2015
2015-04-23,0.604875,"Karurumo(C)",2015-04-23,17,4,2015
2015-04-24,0.886166666666667,"Karurumo(C)",2015-04-24,17,5,2015
2015-04-25,0.588104166666667,"Karurumo(C)",2015-04-25,17,6,2015
2015-04-26,0.543270833333333,"Karurumo(C)",2015-04-26,17,0,2015
2015-04-27,0.853625,"Karurumo(C)",2015-04-27,18,1,2015
2015-04-28,0.633416666666667,"Karurumo(C)",2015-04-28,18,2,2015
2015-04-29,0.587979166666667,"Karurumo(C)",2015-04-29,18,3,2015
2015-04-30,0.585375,"Karurumo(C)",2015-04-30,18,4,2015
2015-05-01,0.568125,"Karurumo(C)",2015-05-01,18,5,2015
2015-05-02,0.637520833333333,"Karurumo(C)",2015-05-02,18,6,2015
2015-05-03,0.5964375,"Karurumo(C)",2015-05-03,18,0,2015
2015-05-04,0.559354166666667,"Karurumo(C)",2015-05-04,19,1,2015
2015-05-05,0.625666666666667,"Karurumo(C)",2015-05-05,19,2,2015
2015-05-06,0.554166666666667,"Karurumo(C)",2015-05-06,19,3,2015
2015-05-07,0.545354166666667,"Karurumo(C)",2015-05-07,19,4,2015
2015-05-08,0.549083333333333,"Karurumo(C)",2015-05-08,19,5,2015
2015-05-09,0.6746875,"Karurumo(C)",2015-05-09,19,6,2015
2015-05-10,0.568666666666667,"Karurumo(C)",2015-05-10,19,0,2015
2015-05-11,0.647104166666667,"Karurumo(C)",2015-05-11,20,1,2015
2015-05-12,0.6380625,"Karurumo(C)",2015-05-12,20,2,2015
2015-05-13,0.59375,"Karurumo(C)",2015-05-13,20,3,2015
2015-05-14,0.686041666666667,"Karurumo(C)",2015-05-14,20,4,2015
2015-05-15,0.602791666666667,"Karurumo(C)",2015-05-15,20,5,2015
2015-05-16,0.604875,"Karurumo(C)",2015-05-16,20,6,2015
2015-05-17,0.579729166666667,"Karurumo(C)",2015-05-17,20,0,2015
2015-05-18,0.57525,"Karurumo(C)",2015-05-18,21,1,2015
2015-05-19,0.5781875,"Karurumo(C)",2015-05-19,21,2,2015
2015-05-20,0.573666666666667,"Karurumo(C)",2015-05-20,21,3,2015
2015-05-21,0.576625,"Karurumo(C)",2015-05-21,21,4,2015
2015-05-22,0.5641875,"Karurumo(C)",2015-05-22,21,5,2015
2015-05-23,0.56225,"Karurumo(C)",2015-05-23,21,6,2015
2015-05-24,0.552375,"Karurumo(C)",2015-05-24,21,0,2015
2015-05-25,0.550125,"Karurumo(C)",2015-05-25,22,1,2015
2015-05-26,0.549541666666667,"Karurumo(C)",2015-05-26,22,2,2015
2015-05-27,0.5461875,"Karurumo(C)",2015-05-27,22,3,2015
2015-05-28,0.5408125,"Karurumo(C)",2015-05-28,22,4,2015
2015-05-29,0.535520833333333,"Karurumo(C)",2015-05-29,22,5,2015
2015-05-30,0.5514375,"Karurumo(C)",2015-05-30,22,6,2015
2015-05-31,0.563458333333333,"Karurumo(C)",2015-05-31,22,0,2015
2015-06-01,0.669645833333333,"Karurumo(C)",2015-06-01,23,1,2015
2015-06-02,0.6130625,"Karurumo(C)",2015-06-02,23,2,2015
2015-06-03,0.607354166666667,"Karurumo(C)",2015-06-03,23,3,2015
2015-06-04,0.5710625,"Karurumo(C)",2015-06-04,23,4,2015
2015-06-05,0.591020833333333,"Karurumo(C)",2015-06-05,23,5,2015
2015-06-06,0.5943125,"Karurumo(C)",2015-06-06,23,6,2015
2015-06-07,0.582375,"Karurumo(C)",2015-06-07,23,0,2015
2015-06-08,0.578416666666667,"Karurumo(C)",2015-06-08,24,1,2015
2015-06-09,0.579958333333333,"Karurumo(C)",2015-06-09,24,2,2015
2015-06-10,0.5708125,"Karurumo(C)",2015-06-10,24,3,2015
2015-06-11,0.565354166666667,"Karurumo(C)",2015-06-11,24,4,2015
2015-06-12,0.566270833333333,"Karurumo(C)",2015-06-12,24,5,2015
2015-06-13,0.5630625,"Karurumo(C)",2015-06-13,24,6,2015
2015-06-14,0.560083333333333,"Karurumo(C)",2015-06-14,24,0,2015
2015-06-15,0.553041666666667,"Karurumo(C)",2015-06-15,25,1,2015
2015-06-16,0.5468125,"Karurumo(C)",2015-06-16,25,2,2015
2015-06-17,0.539125,"Karurumo(C)",2015-06-17,25,3,2015
2015-06-18,0.5290625,"Karurumo(C)",2015-06-18,25,4,2015
2015-06-19,0.525416666666667,"Karurumo(C)",2015-06-19,25,5,2015
2015-06-20,0.5321875,"Karurumo(C)",2015-06-20,25,6,2015
2015-06-21,0.5330625,"Karurumo(C)",2015-06-21,25,0,2015
2015-06-22,0.536125,"Karurumo(C)",2015-06-22,26,1,2015
2015-06-23,0.529958333333333,"Karurumo(C)",2015-06-23,26,2,2015
2015-06-24,0.534541666666667,"Karurumo(C)",2015-06-24,26,3,2015
2015-06-25,0.532166666666667,"Karurumo(C)",2015-06-25,26,4,2015
2015-06-26,0.534875,"Karurumo(C)",2015-06-26,26,5,2015
2015-06-27,0.528291666666667,"Karurumo(C)",2015-06-27,26,6,2015
2015-06-28,0.52775,"Karurumo(C)",2015-06-28,26,0,2015
2015-06-29,0.525645833333333,"Karurumo(C)",2015-06-29,27,1,2015
2015-06-30,0.520833333333333,"Karurumo(C)",2015-06-30,27,2,2015
2015-07-01,0.519708333333333,"Karurumo(C)",2015-07-01,27,3,2015
2015-07-02,0.519895833333333,"Karurumo(C)",2015-07-02,27,4,2015
2015-07-03,0.522395833333333,"Karurumo(C)",2015-07-03,27,5,2015
2015-07-04,0.524479166666667,"Karurumo(C)",2015-07-04,27,6,2015
2015-07-05,0.524291666666667,"Karurumo(C)",2015-07-05,27,0,2015
2015-07-06,0.523354166666667,"Karurumo(C)",2015-07-06,28,1,2015
2015-07-07,0.52725,"Karurumo(C)",2015-07-07,28,2,2015
2015-07-08,0.510625,"Karurumo(C)",2015-07-08,28,3,2015
2015-07-09,0.516833333333333,"Karurumo(C)",2015-07-09,28,4,2015
2015-07-10,0.521020833333333,"Karurumo(C)",2015-07-10,28,5,2015
2015-07-11,0.513479166666667,"Karurumo(C)",2015-07-11,28,6,2015
2015-07-12,0.508,"Karurumo(C)",2015-07-12,28,0,2015
2015-07-13,0.50575,"Karurumo(C)",2015-07-13,29,1,2015
2015-07-14,0.497833333333333,"Karurumo(C)",2015-07-14,29,2,2015
2015-07-15,0.484958333333333,"Karurumo(C)",2015-07-15,29,3,2015
2015-07-16,0.4728125,"Karurumo(C)",2015-07-16,29,4,2015
2015-07-17,0.466916666666667,"Karurumo(C)",2015-07-17,29,5,2015
2015-07-18,0.468395833333333,"Karurumo(C)",2015-07-18,29,6,2015
2015-07-19,0.484291666666667,"Karurumo(C)",2015-07-19,29,0,2015
2015-07-20,0.475083333333333,"Karurumo(C)",2015-07-20,30,1,2015
2015-07-21,0.4808125,"Karurumo(C)",2015-07-21,30,2,2015
2015-07-22,0.483604166666667,"Karurumo(C)",2015-07-22,30,3,2015
2015-07-23,0.479875,"Karurumo(C)",2015-07-23,30,4,2015
2015-07-24,0.488854166666667,"Karurumo(C)",2015-07-24,30,5,2015
2015-07-25,0.520145833333333,"Karurumo(C)",2015-07-25,30,6,2015
2015-07-26,0.51025,"Karurumo(C)",2015-07-26,30,0,2015
2015-07-27,0.5004375,"Karurumo(C)",2015-07-27,31,1,2015
2015-07-28,0.512520833333333,"Karurumo(C)",2015-07-28,31,2,2015
2015-07-29,0.515916666666667,"Karurumo(C)",2015-07-29,31,3,2015
2015-07-30,0.522833333333333,"Karurumo(C)",2015-07-30,31,4,2015
2015-07-31,0.500625,"Karurumo(C)",2015-07-31,31,5,2015
2015-08-01,0.5001875,"Karurumo(C)",2015-08-01,31,6,2015
2015-08-02,0.512541666666667,"Karurumo(C)",2015-08-02,31,0,2015
