Station Name,Date sampled,Time Sampled,Gauge Height (m),Turbidity(NTU),TSS (mg/l),,,,,,
Karurumo,12/21/19,16:20,0.64,309.00,52.20,,,,,,
Karurumo,12/20/19,9:19,0.59,168.00,41.60,,,,,,
Karurumo,12/19/19,16:24,0.60,203.00,78.80,,,,,,
Karurumo,12/18/19,10:26,0.62,187.00,72.00,,,,,,
Karurumo,12/17/19,9:35,0.64,209.00,106.00,,,,,,
Karurumo,12/9/19,17:04,0.65,232.00,77.20,,,,,,
Karurumo,10/15/19,,0.38,27.86,1510.00,,,,,,
Karurumo,6/8/19,,0.45,276.00,146.50,,,,,,
Karurumo,6/8/19,,0.45,271.00,132.00,,,,,,
Karurumo,6/8/19,,0.45,283.00,133.00,,,,,,
Karurumo,6/8/19,,0.45,277.00,152.00,,,,,,
Karurumo,6/8/19,,0.45,269.00,127.00,,,,,,
Karurumo,6/8/19,,0.45,268.00,141.00,,,,,,
Karurumo,6/8/19,,0.45,275.00,134.00,,,,,,
Karurumo,6/8/19,,0.45,280.00,138.00,,,,,,
Karurumo,6/8/19,,0.45,277.00,153.00,,,,,,
Karurumo,6/8/19,,0.45,291.00,146.00,,,,,,
Karurumo,6/7/19,,0.46,350.00,96.40,,,,,,
Karurumo,6/7/19,,0.46,362.00,68.80,,,,,,
Karurumo,6/7/19,,0.46,360.00,103.20,,,,,,
Karurumo,6/7/19,,0.46,361.00,89.60,,,,,,
Karurumo,6/7/19,,0.46,350.00,96.00,,,,,,
Karurumo,6/7/19,,0.46,357.00,81.60,,,,,,
Karurumo,6/7/19,,0.46,424.00,101.60,,,,,,
Karurumo,6/7/19,,0.46,328.00,89.60,,,,,,
Karurumo,6/7/19,,0.46,344.00,77.20,,,,,,
Karurumo,6/7/19,,0.46,351.00,80.00,,,,,,
Karurumo,6/7/19,,0.46,341.00,73.20,,,,,,
Karurumo,6/7/19,,0.46,337.00,122.40,,,,,,
Karurumo,6/7/19,,0.46,32.40,89.20,,,,,,
Karurumo,6/6/19,,0.46,510.00,114.00,,,,,,
Karurumo,6/6/19,,0.46,506.00,86.40,,,,,,
Karurumo,6/6/19,,0.46,297.00,83.20,,,,,,
Karurumo,6/6/19,,0.46,311.00,81.20,,,,,,
Karurumo,6/6/19,,0.46,420.00,164.00,,,,,,
Karurumo,6/6/19,,0.46,305.00,88.80,,,,,,
Karurumo,6/6/19,,0.46,307.00,86.40,,,,,,
Karurumo,6/6/19,,0.46,300.00,87.20,,,,,,
Karurumo,6/6/19,,0.46,303.00,92.40,,,,,,
Karurumo,6/6/19,,0.46,301.00,76.40,,,,,,
Karurumo,6/6/19,,0.46,316.00,104.80,,,,,,
Karurumo,6/6/19,,0.45,276.00,73.20,,,,,,
Karurumo,6/6/19,,0.45,300.00,96.80,,,,,,
Karurumo,3/27/19,15:36,0.39,13.70,,,,,,,
Karurumo,9/19/18,12:34,0.54,16.00,,,,,,,
Karurumo,8/8/18,11:52,0.58,90.60,,,,,,,
Karurumo,8/5/18,12:45,0.81,916.00,,,,,,,
Karurumo,5/21/18,10:30,0.97,,240.00,,,,,,
Karurumo,5/14/18,14:00,0.79,,140.00,,,,,,
Karurumo,5/14/18,14:00,0.79,918.00,,,,,,,
Karurumo,5/9/18,6:00,0.83,,180.00,,,,,,
Karurumo,5/9/18,8:00,0.82,,380.00,,,,,,
Karurumo,5/9/18,6:00,0.83,,220.00,,,,,,
Karurumo,5/9/18,12:00,0.80,,220.00,,,,,,
Karurumo,5/9/18,10:00,0.81,,100.00,,,,,,
Karurumo,5/9/18,16:00,0.75,,180.00,,,,,,
Karurumo,5/9/18,14:00,0.75,,180.00,,,,,,
Karurumo,5/9/18,10:00,0.81,,220.00,,,,,,
Karurumo,5/9/18,12:00,0.80,,180.00,,,,,,
Karurumo,5/9/18,16:00,0.75,,130.00,,,,,,
Karurumo,5/9/18,14:00,0.75,,170.00,,,,,,
Karurumo,5/9/18,8:00,0.82,,190.00,,,,,,
Karurumo,5/8/18,12:45,0.81,,350.00,,,,,,
Karurumo,5/8/18,12:45,0.81,,150.00,,,,,,
Karurumo,5/8/18,6:00,0.88,,260.00,,,,,,
Karurumo,5/8/18,16:00,0.80,,180.00,,,,,,
Karurumo,5/8/18,12:00,0.81,,180.00,,,,,,
Karurumo,5/8/18,18:00,0.88,,60.00,,,,,,
Karurumo,5/8/18,18:00,0.78,,130.00,,,,,,
Karurumo,5/8/18,8:00,0.86,,160.00,,,,,,
Karurumo,5/8/18,18:00,0.79,,380.00,,,,,,
Karurumo,5/8/18,10:00,0.84,,340.00,,,,,,
Karurumo,5/8/18,14:00,0.80,,460.00,,,,,,
Karurumo,5/8/18,14:00,0.80,,120.00,,,,,,
Karurumo,5/8/18,10:00,0.84,,250.00,,,,,,
Karurumo,5/8/18,12:00,0.81,,140.00,,,,,,
Karurumo,5/8/18,8:00,0.86,,180.00,,,,,,
Karurumo,5/8/18,16:00,0.80,,190.00,,,,,,
Karurumo,5/7/18,18:00,0.85,,260.00,,,,,,
Karurumo,5/7/18,11:00,0.76,,20.00,,,,,,
Karurumo,5/7/18,6:00,0.77,,220.00,,,,,,
Karurumo,5/7/18,6:00,0.77,,200.00,,,,,,
Karurumo,5/7/18,11:00,0.76,,180.00,,,,,,
Karurumo,5/7/18,18:00,0.85,,280.00,,,,,,
