Serial No,Station Name,Stn ID,Date sampled,Time  sampled,Gauge Height (m),Turbidity (NTU),TSS (mg/l),Q (m3/s)
238,Mbogiti,MBOGI01,12/21/19,11:29,0.45,0.00,1.10,0.1384
237,Mbogiti,MBOGI01,12/20/19,13:50,0.46,0.00,0.80,0.1302
236,Mbogiti,MBOGI01,12/18/19,17:20,0.49,0.00,1.40,0.1102
235,Mbogiti,MBOGI01,12/17/19,,0.50,0.00,3.80,0.1724
234,Mbogiti,MBOGI01,12/11/19,17:16,0.56,0.00,2.20,0.1571
232,Mbogiti,MBOGI01,12/10/19,12:00,0.61,0.00,3.80,
233,Mbogiti,MBOGI01,12/10/19,12:00,0.61,0.00,3.80,
231,Mbogiti,MBOGI01,11/29/19,,,0.00,0.80,
239,Mbogiti,MBOGI01,10/16/19,14:07,0.31,2.26,35.00,
287,Mbogiti,MBOGI01,10/16/19,,0.31,2.26,35.00,
261,Mbogiti,MBOGI01,6/8/19,,0.35,12.67,21.00,
262,Mbogiti,MBOGI01,6/8/19,,0.35,8.60,12.60,
263,Mbogiti,MBOGI01,6/8/19,,0.35,8.87,7.80,
264,Mbogiti,MBOGI01,6/8/19,,0.35,26.81,21.00,
265,Mbogiti,MBOGI01,6/8/19,,0.35,8.84,6.40,
266,Mbogiti,MBOGI01,6/8/19,,0.35,9.74,6.80,
267,Mbogiti,MBOGI01,6/8/19,,0.34,10.86,9.80,
268,Mbogiti,MBOGI01,6/8/19,,0.36,13.98,9.00,
269,Mbogiti,MBOGI01,6/8/19,,0.36,10.72,2.80,
270,Mbogiti,MBOGI01,6/8/19,,0.35,12.11,11.60,
271,Mbogiti,MBOGI01,6/8/19,,0.35,9.24,7.80,
272,Mbogiti,MBOGI01,6/8/19,,0.35,12.80,8.80,
249,Mbogiti,MBOGI01,6/7/19,,0.36,12.10,7.40,
250,Mbogiti,MBOGI01,6/7/19,,0.36,9.70,10.80,
251,Mbogiti,MBOGI01,6/7/19,,0.36,12.25,7.20,
252,Mbogiti,MBOGI01,6/7/19,,0.36,12.79,8.00,
253,Mbogiti,MBOGI01,6/7/19,,0.36,13.29,3.60,
254,Mbogiti,MBOGI01,6/7/19,,0.36,8.15,3.80,
255,Mbogiti,MBOGI01,6/7/19,,0.36,8.80,4.60,
256,Mbogiti,MBOGI01,6/7/19,,0.37,11.69,6.60,
257,Mbogiti,MBOGI01,6/7/19,,0.37,13.97,8.00,
258,Mbogiti,MBOGI01,6/7/19,,0.37,17.48,7.00,
259,Mbogiti,MBOGI01,6/7/19,,0.37,14.11,10.20,
260,Mbogiti,MBOGI01,6/7/19,,0.35,12.04,9.40,
240,Mbogiti,MBOGI01,6/6/19,,0.37,15.55,7.80,
241,Mbogiti,MBOGI01,6/6/19,,0.41,12.62,9.20,
242,Mbogiti,MBOGI01,6/6/19,,0.43,7.77,3.60,
243,Mbogiti,MBOGI01,6/6/19,,0.42,8.37,3.00,
244,Mbogiti,MBOGI01,6/6/19,,0.42,9.11,3.40,
245,Mbogiti,MBOGI01,6/6/19,,0.42,9.62,3.60,
246,Mbogiti,MBOGI01,6/6/19,,0.38,11.81,9.00,
247,Mbogiti,MBOGI01,6/6/19,,0.37,11.81,6.80,
248,Mbogiti,MBOGI01,6/6/19,,0.37,13.85,4.80,
230,Mbogiti,MBOGI01,3/28/19,10:48,0.34,11.00,,0.0215
286,Mbogiti,MBOGI01,3/28/19,,0.34,11.00,,0.0215
229,Mbogiti,MBOGI01,2/20/19,,0.04,4.27,,0.0088
285,Mbogiti,MBOGI01,2/20/19,,0.04,4.27,,0.0088
228,Mbogiti,MBOGI01,9/18/18,16:20,0.44,,,0.0140
284,Mbogiti,MBOGI01,9/18/18,,0.44,,,0.0140
226,Mbogiti,MBOGI01,8/5/18,16:50,0.81,2.43,,0.2456
282,Mbogiti,MBOGI01,8/5/18,,0.81,2.43,,0.2456
227,Mbogiti,MBOGI01,7/8/18,14:13,0.45,8.37,,0.0249
283,Mbogiti,MBOGI01,7/8/18,,0.45,8.37,,0.0249
222,Mbogiti,MBOGI01,5/28/18,15:16,0.73,,8.00,0.2353
221,Mbogiti,MBOGI01,5/25/18,12:32,0.83,,0.00,0.3262
220,Mbogiti,MBOGI01,5/21/18,15:35,0.75,,0.00,0.1660
202,Mbogiti,MBOGI01,5/8/18,16:50,0.81,,0.00,0.2456
203,Mbogiti,MBOGI01,5/8/18,,0.81,,400.00,0.2456
215,Mbogiti,MBOGI01,5/8/18,7:12,0.82,,30.00,
208,Mbogiti,MBOGI01,5/7/18,18:05,0.83,,10.00,0.3262
218,Mbogiti,MBOGI01,5/7/18,18:05,0.83,,6.70,0.3262
219,Mbogiti,MBOGI01,5/6/18,12:00,0.81,,30.00,0.2456
207,Mbogiti,MBOGI01,5/5/18,12:00,0.82,,30.00,
214,Mbogiti,MBOGI01,5/5/18,12:00,0.82,,40.00,
130,Mbogiti,MBOGI01,5/4/18,8:00,0.78,,10.00,
145,Mbogiti,MBOGI01,5/4/18,16:08,0.77,,30.00,
201,Mbogiti,MBOGI01,5/4/18,16:08,0.77,,0.00,0.2287
212,Mbogiti,MBOGI01,5/4/18,12:00,0.78,,0.00,
204,Mbogiti,MBOGI01,5/3/18,16:00,0.75,,20.00,0.1660
205,Mbogiti,MBOGI01,5/3/18,16:00,0.75,,30.00,0.1660
213,Mbogiti,MBOGI01,5/3/18,12:00,0.77,,0.00,0.2287
216,Mbogiti,MBOGI01,5/3/18,18:05,0.84,,10.00,
217,Mbogiti,MBOGI01,5/3/18,18:05,0.83,,0.00,0.3262
206,Mbogiti,MBOGI01,5/2/18,12:00,0.79,,20.00,0.2644
210,Mbogiti,MBOGI01,5/2/18,12:00,0.79,,20.00,0.2644
211,Mbogiti,MBOGI01,5/1/18,18:00,0.79,,0.00,0.2644
142,Mbogiti,MBOGI01,4/30/18,14:35,0.74,,10.00,
200,Mbogiti,MBOGI01,4/30/18,14:35,0.74,,220.00,
107,Mbogiti,MBOGI01,4/23/18,18:00,0.71,,10.00,
119,Mbogiti,MBOGI01,4/23/18,10:00,0.70,,10.00,0.0261
120,Mbogiti,MBOGI01,4/23/18,9:00,0.71,,20.00,
135,Mbogiti,MBOGI01,4/23/18,8:00,0.71,,20.00,
148,Mbogiti,MBOGI01,4/23/18,7:10,0.71,,40.00,
154,Mbogiti,MBOGI01,4/23/18,18:00,0.71,,20.00,
155,Mbogiti,MBOGI01,4/23/18,12:00,0.70,,30.00,0.0261
157,Mbogiti,MBOGI01,4/23/18,8:00,0.71,,30.00,
162,Mbogiti,MBOGI01,4/23/18,12:00,0.70,,20.00,0.0261
164,Mbogiti,MBOGI01,4/23/18,10:00,0.70,,20.00,0.0261
169,Mbogiti,MBOGI01,4/23/18,11:00,0.70,,0.00,0.0261
191,Mbogiti,MBOGI01,4/23/18,18:00,0.71,,50.00,
194,Mbogiti,MBOGI01,4/23/18,11:00,0.70,,0.00,0.0261
196,Mbogiti,MBOGI01,4/23/18,9:00,0.71,,10.00,
113,Mbogiti,MBOGI01,4/21/18,12:00,0.70,,30.00,
116,Mbogiti,MBOGI01,4/21/18,15:00,0.70,,10.00,
118,Mbogiti,MBOGI01,4/21/18,9:05,0.70,,0.00,
124,Mbogiti,MBOGI01,4/21/18,7:05,0.70,,10.00,0.0261
136,Mbogiti,MBOGI01,4/21/18,14:00,0.70,,10.00,
140,Mbogiti,MBOGI01,4/21/18,18:00,0.70,,30.00,
141,Mbogiti,MBOGI01,4/21/18,16:00,0.70,,10.00,
143,Mbogiti,MBOGI01,4/21/18,17:00,0.70,,10.00,
144,Mbogiti,MBOGI01,4/21/18,8:00,0.70,,30.00,
147,Mbogiti,MBOGI01,4/21/18,12:00,0.70,,10.00,
149,Mbogiti,MBOGI01,4/21/18,18:10,0.70,,0.00,0.0261
158,Mbogiti,MBOGI01,4/21/18,10:00,0.70,,0.00,
165,Mbogiti,MBOGI01,4/21/18,15:00,0.70,,60.00,
166,Mbogiti,MBOGI01,4/21/18,7:05,0.70,,30.00,0.0261
167,Mbogiti,MBOGI01,4/21/18,11:00,0.70,,10.00,
168,Mbogiti,MBOGI01,4/21/18,11:00,0.70,,20.00,
171,Mbogiti,MBOGI01,4/21/18,13:00,0.70,,10.00,
172,Mbogiti,MBOGI01,4/21/18,9:05,0.70,,0.00,
174,Mbogiti,MBOGI01,4/21/18,14:00,0.70,,30.00,
176,Mbogiti,MBOGI01,4/21/18,18:00,0.70,,20.00,
177,Mbogiti,MBOGI01,4/21/18,10:00,0.70,,10.00,
181,Mbogiti,MBOGI01,4/21/18,13:00,0.70,,10.00,
182,Mbogiti,MBOGI01,4/21/18,17:00,0.70,,20.00,
199,Mbogiti,MBOGI01,4/21/18,8:00,0.70,,10.00,
105,Mbogiti,MBOGI01,4/20/18,17:20,0.70,,10.00,0.0261
106,Mbogiti,MBOGI01,4/20/18,9:05,0.68,,10.00,
114,Mbogiti,MBOGI01,4/20/18,18:10,0.69,,10.00,
115,Mbogiti,MBOGI01,4/20/18,9:00,0.68,,20.00,
117,Mbogiti,MBOGI01,4/20/18,10:10,0.68,,10.00,
122,Mbogiti,MBOGI01,4/20/18,12:05,0.73,,10.00,0.2353
123,Mbogiti,MBOGI01,4/20/18,16:15,0.07,,0.00,
125,Mbogiti,MBOGI01,4/20/18,18:00,0.70,,10.00,0.0261
129,Mbogiti,MBOGI01,4/20/18,15:05,0.70,,10.00,0.0261
134,Mbogiti,MBOGI01,4/20/18,15:05,0.70,,20.00,0.0261
138,Mbogiti,MBOGI01,4/20/18,11:20,0.68,,10.00,
139,Mbogiti,MBOGI01,4/20/18,17:20,0.70,,20.00,0.0261
146,Mbogiti,MBOGI01,4/20/18,12:05,0.73,,50.00,0.2353
151,Mbogiti,MBOGI01,4/20/18,13:05,0.71,,60.00,
152,Mbogiti,MBOGI01,4/20/18,8:05,0.69,,10.00,
156,Mbogiti,MBOGI01,4/20/18,13:05,0.71,,50.00,
161,Mbogiti,MBOGI01,4/20/18,14:02,0.71,,20.00,
163,Mbogiti,MBOGI01,4/20/18,7:15,0.69,,0.00,
170,Mbogiti,MBOGI01,4/20/18,11:20,0.68,,10.00,
173,Mbogiti,MBOGI01,4/20/18,10:16,0.68,,10.00,
184,Mbogiti,MBOGI01,4/20/18,8:05,0.69,,20.00,
185,Mbogiti,MBOGI01,4/20/18,16:15,0.70,,20.00,0.0261
187,Mbogiti,MBOGI01,4/20/18,18:00,0.70,,0.00,0.0261
192,Mbogiti,MBOGI01,4/20/18,7:15,0.69,,10.00,
197,Mbogiti,MBOGI01,4/20/18,14:02,0.71,,10.00,
103,Mbogiti,MBOGI01,4/19/18,18:00,0.68,,10.00,
104,Mbogiti,MBOGI01,4/19/18,16:00,0.70,,30.00,
108,Mbogiti,MBOGI01,4/19/18,15:20,0.72,,20.00,
109,Mbogiti,MBOGI01,4/19/18,18:10,0.70,,10.00,0.0261
110,Mbogiti,MBOGI01,4/19/18,10:00,0.68,,50.00,
111,Mbogiti,MBOGI01,4/19/18,16:20,0.74,,80.00,
112,Mbogiti,MBOGI01,4/19/18,10:00,0.68,,10.00,
121,Mbogiti,MBOGI01,4/19/18,8:00,0.69,,20.00,
126,Mbogiti,MBOGI01,4/19/18,13:00,0.68,,10.00,
