"Date Time, GMT+03:00",Temp (°C),Water Level (m)
4/1/15 0:00,17.665,0.274
4/1/15 0:30,17.475,0.27
4/1/15 1:00,17.379,0.268
4/1/15 1:30,17.284,0.265
4/1/15 2:00,17.189,0.263
4/1/15 2:30,17.189,0.258
4/1/15 3:00,17.189,0.257
4/1/15 3:30,17.189,0.255
4/1/15 4:00,17.189,0.257
4/1/15 4:30,17.094,0.258
4/1/15 5:00,16.999,0.259
4/1/15 5:30,16.903,0.26
4/1/15 6:00,16.808,0.263
4/1/15 6:30,16.808,0.268
4/1/15 7:00,16.713,0.269
4/1/15 7:30,16.713,0.273
4/1/15 8:00,16.713,0.277
4/1/15 8:30,16.808,0.279
4/1/15 9:00,16.999,0.281
4/1/15 9:30,17.284,0.284
4/1/15 10:00,17.379,0.286
4/1/15 10:30,17.855,0.286
4/1/15 11:00,18.616,0.284
4/1/15 11:30,19.187,0.281
4/1/15 12:00,19.662,0.279
4/1/15 12:30,20.043,0.276
4/1/15 13:00,20.805,0.272
4/1/15 13:30,21.091,0.268
4/1/15 14:00,21.187,0.262
4/1/15 14:30,21.664,0.256
4/1/15 15:00,21.855,0.254
4/1/15 15:30,21.951,0.249
4/1/15 16:00,21.855,0.247
4/1/15 16:30,21.664,0.243
4/1/15 17:00,21.378,0.242
4/1/15 17:30,21.091,0.244
4/1/15 18:00,20.71,0.246
4/1/15 18:30,20.329,0.247
4/1/15 19:00,20.043,0.247
4/1/15 19:30,19.662,0.252
4/1/15 20:00,19.282,0.257
4/1/15 20:30,18.996,0.261
4/1/15 21:00,18.711,0.265
4/1/15 21:30,18.331,0.267
4/1/15 22:00,18.045,0.271
4/1/15 22:30,17.76,0.27
4/1/15 23:00,17.57,0.272
4/1/15 23:30,17.379,0.27
4/2/15 0:00,17.189,0.268
4/2/15 0:30,17.094,0.266
4/2/15 1:00,16.999,0.262
4/2/15 1:30,16.903,0.259
4/2/15 2:00,16.903,0.256
4/2/15 2:30,16.808,0.25
4/2/15 3:00,16.808,0.247
4/2/15 3:30,16.903,0.249
4/2/15 4:00,16.903,0.249
4/2/15 4:30,16.808,0.244
4/2/15 5:00,16.713,0.249
4/2/15 5:30,16.713,0.247
4/2/15 6:00,16.713,0.249
4/2/15 6:30,16.713,0.252
4/2/15 7:00,16.713,0.257
4/2/15 7:30,16.808,0.262
4/2/15 8:00,16.808,0.265
4/2/15 8:30,16.999,0.267
4/2/15 9:00,17.189,0.269
4/2/15 9:30,17.379,0.268
4/2/15 10:00,17.76,0.271
4/2/15 10:30,17.95,0.27
4/2/15 11:00,18.426,0.269
4/2/15 11:30,18.806,0.265
4/2/15 12:00,19.092,0.26
4/2/15 12:30,19.567,0.255
4/2/15 13:00,20.234,0.254
4/2/15 13:30,20.71,0.248
4/2/15 14:00,21.091,0.241
4/2/15 14:30,21.473,0.241
4/2/15 15:00,21.473,0.238
4/2/15 15:30,21.473,0.231
4/2/15 16:00,21.473,0.228
4/2/15 16:30,21.187,0.23
4/2/15 17:00,20.805,0.231
4/2/15 17:30,20.519,0.233
4/2/15 18:00,20.138,0.23
4/2/15 18:30,19.853,0.231
4/2/15 19:00,19.662,0.235
4/2/15 19:30,19.377,0.24
4/2/15 20:00,19.092,0.239
4/2/15 20:30,18.901,0.246
4/2/15 21:00,18.711,0.249
4/2/15 21:30,18.616,0.252
4/2/15 22:00,18.426,0.254
4/2/15 22:30,18.331,0.254
4/2/15 23:00,18.236,0.254
4/2/15 23:30,18.14,0.255
4/3/15 0:00,18.14,0.25
4/3/15 0:30,18.045,0.245
4/3/15 1:00,17.95,0.242
4/3/15 1:30,17.95,0.238
4/3/15 2:00,17.855,0.238
4/3/15 2:30,17.855,0.237
4/3/15 3:00,17.76,0.236
4/3/15 3:30,17.76,0.238
4/3/15 4:00,17.665,0.238
4/3/15 4:30,17.665,0.239
4/3/15 5:00,17.665,0.239
4/3/15 5:30,17.57,0.236
4/3/15 6:00,17.475,0.234
4/3/15 6:30,17.284,0.235
4/3/15 7:00,17.189,0.237
4/3/15 7:30,17.189,0.241
4/3/15 8:00,17.094,0.242
4/3/15 8:30,17.189,0.244
4/3/15 9:00,17.284,0.246
4/3/15 9:30,17.379,0.251
4/3/15 10:00,17.57,0.253
4/3/15 10:30,18.045,0.255
4/3/15 11:00,18.426,0.256
4/3/15 11:30,18.616,0.252
4/3/15 12:00,18.901,0.248
4/3/15 12:30,19.282,0.245
4/3/15 13:00,19.567,0.241
4/3/15 13:30,19.853,0.237
4/3/15 14:00,20.138,0.235
4/3/15 14:30,20.234,0.227
4/3/15 15:00,20.424,0.223
4/3/15 15:30,20.424,0.221
4/3/15 16:00,20.424,0.217
4/3/15 16:30,20.329,0.213
4/3/15 17:00,20.234,0.213
4/3/15 17:30,20.138,0.214
4/3/15 18:00,19.853,0.221
4/3/15 18:30,19.662,0.22
4/3/15 19:00,19.377,0.223
4/3/15 19:30,19.187,0.225
4/3/15 20:00,18.996,0.228
4/3/15 20:30,18.901,0.234
4/3/15 21:00,18.711,0.235
4/3/15 21:30,18.616,0.238
4/3/15 22:00,18.521,0.24
4/3/15 22:30,18.426,0.24
4/3/15 23:00,18.331,0.24
4/3/15 23:30,18.236,0.241
4/4/15 0:00,18.14,0.238
4/4/15 0:30,18.045,0.236
4/4/15 1:00,17.95,0.234
4/4/15 1:30,17.95,0.232
4/4/15 2:00,17.855,0.232
4/4/15 2:30,17.76,0.233
4/4/15 3:00,17.76,0.233
4/4/15 3:30,17.76,0.233
4/4/15 4:00,17.665,0.233
4/4/15 4:30,17.57,0.234
4/4/15 5:00,17.57,0.236
4/4/15 5:30,17.57,0.242
4/4/15 6:00,17.475,0.243
4/4/15 6:30,17.379,0.246
4/4/15 7:00,17.284,0.252
4/4/15 7:30,17.284,0.259
4/4/15 8:00,17.284,0.265
4/4/15 8:30,17.284,0.268
4/4/15 9:00,17.379,0.272
4/4/15 9:30,17.57,0.274
4/4/15 10:00,17.855,0.273
4/4/15 10:30,18.14,0.274
4/4/15 11:00,18.426,0.267
4/4/15 11:30,18.806,0.264
4/4/15 12:00,19.377,0.259
4/4/15 12:30,19.948,0.253
4/4/15 13:00,20.424,0.247
4/4/15 13:30,20.996,0.244
4/4/15 14:00,21.378,0.239
4/4/15 14:30,21.378,0.233
4/4/15 15:00,21.569,0.23
4/4/15 15:30,21.569,0.227
4/4/15 16:00,21.473,0.227
4/4/15 16:30,21.282,0.228
4/4/15 17:00,21.091,0.227
4/4/15 17:30,20.901,0.229
4/4/15 18:00,20.615,0.233
4/4/15 18:30,20.424,0.237
4/4/15 19:00,20.138,0.238
4/4/15 19:30,19.853,0.239
4/4/15 20:00,19.567,0.242
4/4/15 20:30,19.282,0.248
4/4/15 21:00,19.092,0.25
4/4/15 21:30,18.901,0.25
4/4/15 22:00,18.711,0.252
4/4/15 22:30,18.616,0.252
4/4/15 23:00,18.521,0.25
4/4/15 23:30,18.331,0.253
4/5/15 0:00,18.236,0.252
