Serial No,Station Name,Stn ID,Date sampled,Time Sampled,Gauge Height,Turbidity,TSS (mg/l),Q (m3/s)
190,Thika Valley/Ndiara,THIKA01,12/20/19,12:20,0.15,0.00,3.20,0.0241
187,Thika Valley/Ndiara,THIKA01,12/19/19,12:30,0.15,0.00,22.00,
189,Thika Valley/Ndiara,THIKA01,12/19/19,13:03,0.14,0.00,2.20,0.0273
188,Thika Valley/Ndiara,THIKA01,12/18/19,14:09,0.16,0.00,1.00,0.0389
184,Thika Valley/Ndiara,THIKA01,12/17/19,13:15,0.17,0.00,6.20,0.0350
183,Thika Valley/Ndiara,THIKA01,12/11/19,12:30,0.25,0.00,3.80,
182,Thika Valley/Ndiara,THIKA01,12/10/19,13:55,0.28,0.00,2.60,
185,Thika Valley/Ndiara,THIKA01,12/10/19,13:55,0.28,0.00,1.00,
186,Thika Valley/Ndiara,THIKA01,11/29/19,,,23.23,18.40,
191,Thika Valley/Ndiara,THIKA01,10/16/19,12:19,0.07,4.29,30.00,
242,Thika Valley/Ndiara,THIKA01,10/16/19,,0.07,4.29,30.00,
216,Thika Valley/Ndiara,THIKA01,6/8/19,,0.11,0.12,5.00,
217,Thika Valley/Ndiara,THIKA01,6/8/19,,0.11,2.67,2.20,
218,Thika Valley/Ndiara,THIKA01,6/8/19,,0.11,0.59,3.80,
219,Thika Valley/Ndiara,THIKA01,6/8/19,,0.11,1.50,1.40,
220,Thika Valley/Ndiara,THIKA01,6/8/19,,0.11,3.02,5.00,
221,Thika Valley/Ndiara,THIKA01,6/8/19,,0.11,5.58,7.00,
222,Thika Valley/Ndiara,THIKA01,6/8/19,,0.11,1.38,4.20,
223,Thika Valley/Ndiara,THIKA01,6/8/19,,0.11,1.56,2.40,
224,Thika Valley/Ndiara,THIKA01,6/8/19,,0.11,0.70,1.20,
225,Thika Valley/Ndiara,THIKA01,6/8/19,,0.10,0.43,11.60,
226,Thika Valley/Ndiara,THIKA01,6/8/19,,0.10,1.43,14.80,
227,Thika Valley/Ndiara,THIKA01,6/8/19,,0.10,13.64,3.40,
203,Thika Valley/Ndiara,THIKA01,6/7/19,,0.11,37.30,5.00,
204,Thika Valley/Ndiara,THIKA01,6/7/19,,0.11,58.20,7.20,
205,Thika Valley/Ndiara,THIKA01,6/7/19,,0.11,4.23,4.60,
206,Thika Valley/Ndiara,THIKA01,6/7/19,,0.10,2.02,7.20,
207,Thika Valley/Ndiara,THIKA01,6/7/19,,0.10,4.96,5.60,
208,Thika Valley/Ndiara,THIKA01,6/7/19,,0.10,1.83,5.00,
209,Thika Valley/Ndiara,THIKA01,6/7/19,,0.10,3.45,5.20,
210,Thika Valley/Ndiara,THIKA01,6/7/19,,0.10,3.82,6.40,
211,Thika Valley/Ndiara,THIKA01,6/7/19,,0.10,0.13,5.60,
212,Thika Valley/Ndiara,THIKA01,6/7/19,,0.10,2.61,5.60,
213,Thika Valley/Ndiara,THIKA01,6/7/19,,0.10,0.04,0.80,
214,Thika Valley/Ndiara,THIKA01,6/7/19,,0.37,4.48,5.60,
215,Thika Valley/Ndiara,THIKA01,6/7/19,,0.61,3.51,3.40,
192,Thika Valley/Ndiara,THIKA01,6/6/19,,1.10,7.35,7.80,
193,Thika Valley/Ndiara,THIKA01,6/6/19,,0.10,2.09,0.20,
194,Thika Valley/Ndiara,THIKA01,6/6/19,,0.12,4.71,1.00,
195,Thika Valley/Ndiara,THIKA01,6/6/19,,0.12,0.47,2.20,
196,Thika Valley/Ndiara,THIKA01,6/6/19,,0.10,4.71,1.00,
197,Thika Valley/Ndiara,THIKA01,6/6/19,,0.10,0.80,1.20,
198,Thika Valley/Ndiara,THIKA01,6/6/19,,0.10,3.30,2.20,
199,Thika Valley/Ndiara,THIKA01,6/6/19,,0.10,3.12,1.20,
200,Thika Valley/Ndiara,THIKA01,6/6/19,,0.10,0.75,1.40,
201,Thika Valley/Ndiara,THIKA01,6/6/19,,0.10,3.19,1.00,
202,Thika Valley/Ndiara,THIKA01,6/6/19,,0.10,1.40,0.40,
181,Thika Valley/Ndiara,THIKA01,3/29/19,,0.05,7.54,,0.0021
241,Thika Valley/Ndiara,THIKA01,3/2/19,,0.05,7.54,,0.0021
180,Thika Valley/Ndiara,THIKA01,2/19/19,,0.05,5.30,,0.0036
240,Thika Valley/Ndiara,THIKA01,2/19/19,,0.05,5.30,,0.0036
179,Thika Valley/Ndiara,THIKA01,9/18/18,13:44,0.08,,,0.0061
239,Thika Valley/Ndiara,THIKA01,9/18/18,,0.08,,,0.0061
178,Thika Valley/Ndiara,THIKA01,8/8/18,14:47,0.09,7.10,,0.0085
238,Thika Valley/Ndiara,THIKA01,8/8/18,,0.09,7.10,,0.0085
177,Thika Valley/Ndiara,THIKA01,8/5/18,15:20,0.27,4.98,,0.1074
237,Thika Valley/Ndiara,THIKA01,8/5/18,,0.27,4.98,,0.1074
173,Thika Valley/Ndiara,THIKA01,5/28/18,13:40,0.32,,12.00,0.1301
172,Thika Valley/Ndiara,THIKA01,5/25/18,11:03,0.35,,0.00,
171,Thika Valley/Ndiara,THIKA01,5/21/18,13:57,0.23,,0.00,0.1047
