"Date Time, GMT+03:00","Temp, °C ",Water Level.,,,,,,,
3/26/15 15:20,27.862,0.294,,,,,,,
3/26/15 15:50,26.585,0.287,,,,,,,
3/26/15 16:20,26.097,0.288,,,,,,,
3/26/15 16:50,25.416,0.283,,,,,,,
3/26/15 17:20,24.641,0.291,,,,,,,
3/26/15 17:50,23.869,0.292,,,,,,,
3/26/15 18:20,23.484,0.295,,,,,,,
3/26/15 18:50,23.196,0.297,,,,,,,
3/26/15 19:20,23.004,0.301,,,,,,,
3/26/15 19:50,22.717,0.302,,,,,,,
3/26/15 20:20,22.621,0.303,,,,,,,
3/26/15 20:50,22.525,0.304,,,,,,,
3/26/15 21:20,22.333,0.308,,,,,,,
3/26/15 21:50,22.238,0.311,,,,,,,
3/26/15 22:20,22.238,0.311,,,,,,,
3/26/15 22:50,22.142,0.31,,,,,,,
3/26/15 23:20,22.142,0.31,,,,,,,
3/26/15 23:50,22.046,0.31,,,,,,,
3/27/15 0:20,21.951,0.306,,,,,,,
3/27/15 0:50,21.76,0.301,,,,,,,
3/27/15 1:20,21.76,0.297,,,,,,,
3/27/15 1:50,21.76,0.294,,,,,,,
3/27/15 2:20,21.76,0.293,,,,,,,
3/27/15 2:50,21.664,0.291,,,,,,,
3/27/15 3:20,21.569,0.29,,,,,,,
3/27/15 3:50,21.473,0.288,,,,,,,
3/27/15 4:20,21.473,0.29,,,,,,,
3/27/15 4:50,21.282,0.291,,,,,,,
3/27/15 5:20,21.091,0.293,,,,,,,
3/27/15 5:50,21.091,0.295,,,,,,,
3/27/15 6:20,21.091,0.295,,,,,,,
3/27/15 6:50,21.091,0.296,,,,,,,
3/27/15 7:20,21.091,0.301,,,,,,,
3/27/15 7:50,21.282,0.306,,,,,,,
3/27/15 8:20,21.569,0.312,,,,,,,
3/27/15 8:50,21.951,0.316,,,,,,,
3/27/15 9:20,22.525,0.318,,,,,,,
3/27/15 9:50,23.004,0.319,,,,,,,
3/27/15 10:20,23.581,0.321,,,,,,,
3/27/15 10:50,24.062,0.318,,,,,,,
3/27/15 11:20,24.641,0.313,,,,,,,
3/27/15 11:50,25.319,0.308,,,,,,,
3/27/15 12:20,25.222,0.301,,,,,,,
3/27/15 12:50,25.319,0.299,,,,,,,
3/27/15 13:20,25.513,0.295,,,,,,,
3/27/15 13:50,25.222,0.29,,,,,,,
3/27/15 14:20,25.319,0.287,,,,,,,
3/27/15 14:50,25.805,0.285,,,,,,,
3/27/15 15:20,26.585,0.28,,,,,,,
3/27/15 15:50,26.39,0.276,,,,,,,
3/27/15 16:20,25.416,0.274,,,,,,,
3/27/15 16:50,24.738,0.272,,,,,,,
3/27/15 17:20,24.158,0.271,,,,,,,
3/27/15 17:50,23.773,0.273,,,,,,,
3/27/15 18:20,23.388,0.274,,,,,,,
3/27/15 18:50,23.1,0.276,,,,,,,
3/27/15 19:20,22.908,0.28,,,,,,,
3/27/15 19:50,22.812,0.285,,,,,,,
3/27/15 20:20,22.812,0.292,,,,,,,
3/27/15 20:50,22.717,0.295,,,,,,,
3/27/15 21:20,22.621,0.303,,,,,,,
3/27/15 21:50,22.429,0.302,,,,,,,
3/27/15 22:20,22.333,0.306,,,,,,,
3/27/15 22:50,22.333,0.306,,,,,,,
3/27/15 23:20,22.333,0.305,,,,,,,
3/27/15 23:50,22.238,0.298,,,,,,,
3/28/15 0:20,22.238,0.298,,,,,,,
3/28/15 0:50,22.142,0.296,,,,,,,
3/28/15 1:20,22.142,0.291,,,,,,,
3/28/15 1:50,22.142,0.291,,,,,,,
3/28/15 2:20,22.046,0.289,,,,,,,
3/28/15 2:50,22.046,0.289,,,,,,,
3/28/15 3:20,21.951,0.3,,,,,,,
3/28/15 3:50,21.76,0.324,,,,,,,
3/28/15 4:20,21.569,0.322,,,,,,,
3/28/15 4:50,21.664,0.31,,,,,,,
3/28/15 5:20,21.76,0.313,,,,,,,
3/28/15 5:50,21.664,0.332,,,,,,,
3/28/15 6:20,21.473,0.337,,,,,,,
3/28/15 6:50,21.569,0.327,,,,,,,
3/28/15 7:20,21.664,0.322,,,,,,,
3/28/15 7:50,21.855,0.323,,,,,,,
3/28/15 8:20,22.142,0.326,,,,,,,
3/28/15 8:50,22.429,0.327,,,,,,,
3/28/15 9:20,22.908,0.329,,,,,,,
3/28/15 9:50,23.292,0.329,,,,,,,
3/28/15 10:20,23.773,0.33,,,,,,,
3/28/15 10:50,24.738,0.326,,,,,,,
3/28/15 11:20,25.319,0.321,,,,,,,
3/28/15 11:50,26.39,0.316,,,,,,,
3/28/15 12:20,26.879,0.312,,,,,,,
3/28/15 12:50,27.468,0.302,,,,,,,
3/28/15 13:20,27.961,0.297,,,,,,,
3/28/15 13:50,27.272,0.291,,,,,,,
3/28/15 14:20,25.902,0.282,,,,,,,
3/28/15 14:50,24.931,0.276,,,,,,,
3/28/15 15:20,24.351,0.286,,,,,,,
3/28/15 15:50,24.062,0.288,,,,,,,
3/28/15 16:20,24.351,0.288,,,,,,,
3/28/15 16:50,24.545,0.284,,,,,,,
3/28/15 17:20,24.545,0.284,,,,,,,
3/28/15 17:50,24.351,0.285,,,,,,,
3/28/15 18:20,23.869,0.286,,,,,,,
3/28/15 18:50,23.388,0.287,,,,,,,
3/28/15 19:20,23.004,0.293,,,,,,,
3/28/15 19:50,22.812,0.299,,,,,,,
3/28/15 20:20,22.812,0.304,,,,,,,
3/28/15 20:50,22.621,0.303,,,,,,,
3/28/15 21:20,22.525,0.31,,,,,,,
3/28/15 21:50,22.333,0.314,,,,,,,
3/28/15 22:20,22.046,0.338,,,,,,,
3/28/15 22:50,21.951,0.336,,,,,,,
3/28/15 23:20,21.855,0.33,,,,,,,
3/28/15 23:50,21.76,0.324,,,,,,,
3/29/15 0:20,21.76,0.323,,,,,,,
