"Date Time, GMT+03:00",Temp (°C),Water level (m),,,,,,,
2015/3/26 17:00,23.677,0.445,,,,,,,
2015/3/26 17:30,23.292,0.449,,,,,,,
2015/3/26 18:00,23.292,0.45,,,,,,,
2015/3/26 18:30,23.292,0.453,,,,,,,
2015/3/26 19:00,23.292,0.455,,,,,,,
2015/3/26 19:30,23.196,0.458,,,,,,,
2015/3/26 20:00,23.1,0.459,,,,,,,
2015/3/26 20:30,22.908,0.462,,,,,,,
2015/3/26 21:00,22.717,0.464,,,,,,,
2015/3/26 21:30,22.525,0.469,,,,,,,
2015/3/26 22:00,22.333,0.469,,,,,,,
2015/3/26 22:30,22.142,0.469,,,,,,,
2015/3/26 23:00,22.046,0.47,,,,,,,
2015/3/26 23:30,21.855,0.468,,,,,,,
2015/3/27 00:00,21.76,0.467,,,,,,,
2015/3/27 00:30,21.664,0.461,,,,,,,
2015/3/27 01:00,21.569,0.457,,,,,,,
2015/3/27 01:30,21.378,0.455,,,,,,,
2015/3/27 02:00,21.378,0.453,,,,,,,
2015/3/27 02:30,21.282,0.448,,,,,,,
2015/3/27 03:00,21.187,0.447,,,,,,,
2015/3/27 03:30,21.091,0.447,,,,,,,
2015/3/27 04:00,20.996,0.445,,,,,,,
2015/3/27 04:30,20.901,0.446,,,,,,,
2015/3/27 05:00,20.805,0.448,,,,,,,
2015/3/27 05:30,20.71,0.451,,,,,,,
2015/3/27 06:00,20.615,0.453,,,,,,,
2015/3/27 06:30,20.519,0.458,,,,,,,
2015/3/27 07:00,20.519,0.458,,,,,,,
2015/3/27 07:30,20.424,0.464,,,,,,,
2015/3/27 08:00,20.424,0.467,,,,,,,
2015/3/27 08:30,20.424,0.471,,,,,,,
2015/3/27 09:00,20.424,0.472,,,,,,,
2015/3/27 09:30,20.519,0.474,,,,,,,
2015/3/27 10:00,20.519,0.474,,,,,,,
2015/3/27 10:30,20.615,0.473,,,,,,,
2015/3/27 11:00,20.71,0.47,,,,,,,
2015/3/27 11:30,20.901,0.466,,,,,,,
2015/3/27 12:00,21.091,0.46,,,,,,,
2015/3/27 12:30,21.282,0.454,,,,,,,
2015/3/27 13:00,21.473,0.453,,,,,,,
2015/3/27 13:30,21.664,0.449,,,,,,,
2015/3/27 14:00,21.951,0.447,,,,,,,
2015/3/27 14:30,22.142,0.443,,,,,,,
2015/3/27 15:00,22.429,0.437,,,,,,,
2015/3/27 15:30,22.621,0.433,,,,,,,
2015/3/27 16:00,22.812,0.431,,,,,,,
2015/3/27 16:30,22.908,0.431,,,,,,,
2015/3/27 17:00,23.004,0.43,,,,,,,
2015/3/27 17:30,23.004,0.43,,,,,,,
2015/3/27 18:00,23.1,0.43,,,,,,,
2015/3/27 18:30,23.1,0.43,,,,,,,
2015/3/27 19:00,23.1,0.432,,,,,,,
2015/3/27 19:30,23.1,0.438,,,,,,,
2015/3/27 20:00,22.908,0.442,,,,,,,
2015/3/27 20:30,22.812,0.448,,,,,,,
2015/3/27 21:00,22.621,0.453,,,,,,,
2015/3/27 21:30,22.525,0.457,,,,,,,
2015/3/27 22:00,22.333,0.46,,,,,,,
2015/3/27 22:30,22.238,0.463,,,,,,,
2015/3/27 23:00,22.142,0.461,,,,,,,
2015/3/27 23:30,22.046,0.46,,,,,,,
2015/3/28 00:00,21.951,0.453,,,,,,,
2015/3/28 00:30,21.855,0.45,,,,,,,
2015/3/28 01:00,21.76,0.448,,,,,,,
2015/3/28 01:30,21.664,0.444,,,,,,,
2015/3/28 02:00,21.569,0.442,,,,,,,
2015/3/28 02:30,21.569,0.444,,,,,,,
2015/3/28 03:00,21.473,0.445,,,,,,,
2015/3/28 03:30,21.378,0.445,,,,,,,
2015/3/28 04:00,21.282,0.446,,,,,,,
2015/3/28 04:30,21.282,0.448,,,,,,,
2015/3/28 05:00,21.282,0.449,,,,,,,
2015/3/28 05:30,21.187,0.451,,,,,,,
2015/3/28 06:00,21.187,0.454,,,,,,,
2015/3/28 06:30,21.091,0.46,,,,,,,
2015/3/28 07:00,21.091,0.467,,,,,,,
2015/3/28 07:30,21.091,0.471,,,,,,,
2015/3/28 08:00,20.996,0.474,,,,,,,
2015/3/28 08:30,21.091,0.476,,,,,,,
2015/3/28 09:00,21.091,0.48,,,,,,,
2015/3/28 09:30,21.187,0.482,,,,,,,
2015/3/28 10:00,21.187,0.482,,,,,,,
2015/3/28 10:30,21.282,0.479,,,,,,,
2015/3/28 11:00,21.473,0.476,,,,,,,
2015/3/28 11:30,21.664,0.47,,,,,,,
2015/3/28 12:00,21.855,0.468,,,,,,,
2015/3/28 12:30,22.142,0.464,,,,,,,
2015/3/28 13:00,22.429,0.46,,,,,,,
2015/3/28 13:30,22.717,0.453,,,,,,,
2015/3/28 14:00,23.004,0.452,,,,,,,
2015/3/28 14:30,23.196,0.448,,,,,,,
