Date,Year,Month,total evapotranspiration (kg m-2 s-1),specific humidity (kg kg-1),surface runoff (kg m-2 s-1),subsurface runoff (kg m-2 s-1),rainfall flux (kg m-2 s-1),soil moisture content 0 - 10 cm underground (m^3 m-3),soil moisture content 10 - 40 cm underground (m^3 m-3),soil moisture content 40 - 100 cm underground (m^3 m-3),soil moisture content 100 - 200 cm underground (m^3 m-3),surface air temperature (K)
1/1/1982,1982,1,2.62E-05,0.011065496,8.13E-08,9.96E-08,7.68E-06,0.245310385,0.245845958,0.230031245,0.34428018,292.957875
2/1/1982,1982,2,1.45E-05,0.00952024,5.34E-08,5.47E-08,4.42E-06,0.194400026,0.208418707,0.203742603,0.339657711,294.2688047
3/1/1982,1982,3,1.15E-05,0.009904129,2.84E-07,4.18E-08,1.25E-05,0.189579412,0.191200308,0.189158287,0.336075129,294.5163616
4/1/1982,1982,4,4.47E-05,0.012477515,8.24E-06,2.25E-07,9.41E-05,0.322629569,0.293312569,0.214132407,0.335628837,292.9050661
5/1/1982,1982,5,4.30E-05,0.012241517,6.57E-06,1.20E-06,5.48E-05,0.316430754,0.318749899,0.276301891,0.349352902,292.2265435
6/1/1982,1982,6,2.58E-05,0.010929136,4.38E-07,8.32E-07,8.23E-06,0.257543045,0.28355995,0.2640692,0.354258281,291.9600362
7/1/1982,1982,7,1.51E-05,0.010216949,2.47E-07,1.59E-07,6.88E-06,0.222766633,0.250535821,0.2406908,0.348373086,291.1961876
8/1/1982,1982,8,1.15E-05,0.009776155,4.09E-07,1.14E-07,9.13E-06,0.220698539,0.240721192,0.230761957,0.345185133,291.1757657
9/1/1982,1982,9,9.96E-06,0.009905276,2.44E-07,6.70E-08,8.03E-06,0.202732037,0.23475137,0.224630968,0.3423489,292.2321378
10/1/1982,1982,10,3.02E-05,0.011686001,1.09E-05,9.93E-07,8.18E-05,0.290730861,0.290558143,0.255771223,0.347003945,292.244678
11/1/1982,1982,11,3.95E-05,0.012531797,1.55E-05,1.60E-06,9.24E-05,0.329167987,0.349438894,0.322325218,0.360235076,292.3638113
12/1/1982,1982,12,5.51E-05,0.011925412,7.24E-06,3.29E-06,4.79E-05,0.366129247,0.373811211,0.372636485,0.387053102,292.4667289
1/1/1983,1983,1,3.81E-05,0.010595121,5.96E-08,2.34E-07,5.44E-06,0.260291323,0.297039678,0.307745495,0.368240541,293.4719131
2/1/1983,1983,2,2.54E-05,0.011138744,1.08E-06,1.78E-07,1.72E-05,0.242926046,0.262527038,0.260125596,0.358250369,294.2594617
3/1/1983,1983,3,1.96E-05,0.010862114,4.13E-07,1.02E-07,1.03E-05,0.211701252,0.241289544,0.236758694,0.353622373,295.060033
4/1/1983,1983,4,3.21E-05,0.011515012,6.36E-06,2.08E-07,6.57E-05,0.262425576,0.245833375,0.22009343,0.350291761,294.3779919
5/1/1983,1983,5,4.16E-05,0.011961604,7.92E-06,8.00E-07,4.38E-05,0.300558845,0.304006834,0.261456717,0.362608721,292.941137
6/1/1983,1983,6,2.22E-05,0.011156822,6.06E-07,4.19E-07,1.03E-05,0.247581409,0.260716597,0.242817971,0.361914097,292.3631512
7/1/1983,1983,7,1.53E-05,0.010114663,2.24E-07,1.95E-07,9.09E-06,0.22721411,0.239803935,0.226119927,0.357459793,291.6847736
8/1/1983,1983,8,1.14E-05,0.010082994,3.50E-07,1.36E-07,1.10E-05,0.218212996,0.232723167,0.218109137,0.353937143,292.1277002
9/1/1983,1983,9,9.71E-06,0.009447154,1.06E-07,1.20E-07,5.22E-06,0.201674162,0.229737496,0.215700742,0.351548168,292.4344015
10/1/1983,1983,10,1.68E-05,0.010425064,8.88E-07,1.12E-07,2.42E-05,0.233742371,0.233709971,0.213617766,0.349667466,293.0166849
11/1/1983,1983,11,3.61E-05,0.011322375,1.72E-06,2.72E-07,4.55E-05,0.298123694,0.274221768,0.220664964,0.351019216,292.8422404
12/1/1983,1983,12,3.57E-05,0.011460107,5.64E-06,3.44E-07,5.15E-05,0.288421672,0.291020029,0.235265849,0.351783096,292.7092751
1/1/1984,1984,1,2.86E-05,0.009307269,1.16E-07,1.86E-07,5.45E-06,0.243992131,0.263326981,0.236539143,0.349982298,293.5315113
2/1/1984,1984,2,1.40E-05,0.008018371,9.67E-09,7.18E-08,2.15E-06,0.18415362,0.212443163,0.205631085,0.344791549,294.0820207
3/1/1984,1984,3,1.09E-05,0.010064092,1.15E-07,5.38E-08,8.43E-06,0.185146922,0.192246265,0.18960022,0.341076366,294.1152255
4/1/1984,1984,4,2.91E-05,0.011872226,2.27E-06,9.32E-08,5.18E-05,0.25892768,0.215623468,0.184303305,0.338939362,293.9814171
5/1/1984,1984,5,2.70E-05,0.010983473,3.29E-07,1.57E-07,1.34E-05,0.248201802,0.254743708,0.201973267,0.34030229,292.590393
6/1/1984,1984,6,1.23E-05,0.009754309,4.61E-08,8.09E-08,3.90E-06,0.203532564,0.208144678,0.186711925,0.338518514,291.6953226
7/1/1984,1984,7,8.14E-06,0.009667247,2.01E-07,5.42E-08,8.95E-06,0.19235864,0.193721615,0.177797998,0.336523432,290.9336841
8/1/1984,1984,8,7.07E-06,0.009360334,5.19E-08,5.12E-08,5.31E-06,0.197278657,0.197428115,0.176382174,0.335674662,291.3214977
9/1/1984,1984,9,7.88E-06,0.008987715,2.49E-07,5.96E-08,7.31E-06,0.202596341,0.198877881,0.175992263,0.335240093,292.1431963
10/1/1984,1984,10,2.56E-05,0.010810614,4.40E-06,2.90E-07,5.60E-05,0.276628924,0.251262808,0.191558819,0.33751498,291.9657371
11/1/1984,1984,11,4.53E-05,0.012411053,1.22E-05,9.73E-07,0.000102506,0.342139224,0.337550859,0.27986768,0.350349123,291.7397289
12/1/1984,1984,12,4.50E-05,0.011460248,4.75E-06,1.05E-06,3.30E-05,0.326758644,0.337290828,0.318681621,0.360717516,292.0247051
1/1/1985,1985,1,2.98E-05,0.010633137,1.40E-07,1.28E-07,6.56E-06,0.235484327,0.264598769,0.265367901,0.350923405,292.7173289
2/1/1985,1985,2,2.49E-05,0.009890988,9.02E-07,1.52E-07,2.09E-05,0.250592842,0.254980052,0.234034543,0.346209403,294.0810236
3/1/1985,1985,3,2.46E-05,0.011291861,3.23E-06,1.18E-07,4.76E-05,0.242296688,0.245508764,0.217761309,0.343502923,293.4145735
4/1/1985,1985,4,5.43E-05,0.012265268,1.09E-05,2.79E-06,9.72E-05,0.355182475,0.354288682,0.303532863,0.360835063,292.8487114
5/1/1985,1985,5,4.52E-05,0.011556046,7.27E-06,1.73E-06,4.17E-05,0.315770254,0.329822422,0.319868223,0.370010406,291.9703147
6/1/1985,1985,6,2.59E-05,0.010117512,5.39E-07,5.64E-07,8.14E-06,0.254564259,0.286552953,0.282431495,0.362693376,291.2162138
7/1/1985,1985,7,1.65E-05,0.009581731,6.41E-07,1.84E-07,1.02E-05,0.233357595,0.260845486,0.256240888,0.35595213,290.5627751
8/1/1985,1985,8,1.25E-05,0.008966778,3.58E-07,1.92E-07,7.46E-06,0.219850115,0.250682597,0.246064972,0.353020583,290.7883723
9/1/1985,1985,9,9.22E-06,0.00945819,1.31E-07,6.88E-08,5.48E-06,0.197481017,0.238621638,0.237023023,0.349041265,291.93821
10/1/1985,1985,10,1.94E-05,0.009992892,9.14E-07,6.26E-08,2.79E-05,0.239912515,0.24091022,0.232014711,0.34615368,292.2985928
11/1/1985,1985,11,3.64E-05,0.011661004,5.88E-06,3.52E-07,6.13E-05,0.305642756,0.306230706,0.255902662,0.348915596,292.1840369
12/1/1985,1985,12,3.88E-05,0.011503651,2.06E-06,3.43E-07,2.32E-05,0.28864046,0.299369162,0.272009984,0.350656631,292.3150753
1/1/1986,1986,1,2.39E-05,0.00961808,1.03E-07,1.06E-07,5.36E-06,0.218775917,0.234127364,0.226563604,0.34413369,293.4192407
2/1/1986,1986,2,1.22E-05,0.008624264,2.47E-08,5.51E-08,2.59E-06,0.180346221,0.198655092,0.197031917,0.339177035,294.2268903
3/1/1986,1986,3,1.92E-05,0.010782637,1.61E-06,8.16E-08,2.46E-05,0.23087037,0.228224571,0.188336115,0.336439707,294.0203217
4/1/1986,1986,4,4.21E-05,0.01221913,7.14E-06,3.24E-07,0.000104251,0.306161504,0.288240652,0.207302243,0.337136126,293.18421
