"Date","waterLevel","watershed","DDate","as.POSIXct(strptime(Conclusion1G$Date, ""%Y-%m-%d""))","week","wday","year"
2015-03-26,0.299833333333333,"Githambara(T)",2015-03-26,2015-03-26,13,4,2015
2015-03-27,0.295354166666667,"Githambara(T)",2015-03-27,2015-03-27,13,5,2015
2015-03-28,0.307645833333333,"Githambara(T)",2015-03-28,2015-03-28,13,6,2015
2015-03-29,0.309916666666667,"Githambara(T)",2015-03-29,2015-03-29,13,0,2015
2015-03-30,0.3075625,"Githambara(T)",2015-03-30,2015-03-30,14,1,2015
2015-03-31,0.298541666666667,"Githambara(T)",2015-03-31,2015-03-31,14,2,2015
2015-04-01,0.303854166666667,"Githambara(T)",2015-04-01,2015-04-01,14,3,2015
2015-04-02,0.294604166666667,"Githambara(T)",2015-04-02,2015-04-02,14,4,2015
2015-04-03,0.302020833333333,"Githambara(T)",2015-04-03,2015-04-03,14,5,2015
2015-04-04,0.303104166666667,"Githambara(T)",2015-04-04,2015-04-04,14,6,2015
2015-04-05,0.375666666666667,"Githambara(T)",2015-04-05,2015-04-05,14,0,2015
2015-04-06,0.31875,"Githambara(T)",2015-04-06,2015-04-06,15,1,2015
2015-04-07,0.2951875,"Githambara(T)",2015-04-07,2015-04-07,15,2,2015
2015-04-08,0.283,"Githambara(T)",2015-04-08,2015-04-08,15,3,2015
2015-04-09,0.336333333333333,"Githambara(T)",2015-04-09,2015-04-09,15,4,2015
2015-04-10,0.298625,"Githambara(T)",2015-04-10,2015-04-10,15,5,2015
2015-04-11,0.2989375,"Githambara(T)",2015-04-11,2015-04-11,15,6,2015
2015-04-12,0.300520833333333,"Githambara(T)",2015-04-12,2015-04-12,15,0,2015
2015-04-13,0.294458333333333,"Githambara(T)",2015-04-13,2015-04-13,16,1,2015
2015-04-14,0.279833333333333,"Githambara(T)",2015-04-14,2015-04-14,16,2,2015
2015-04-15,0.282291666666667,"Githambara(T)",2015-04-15,2015-04-15,16,3,2015
2015-04-16,0.314041666666667,"Githambara(T)",2015-04-16,2015-04-16,16,4,2015
2015-04-17,0.37825,"Githambara(T)",2015-04-17,2015-04-17,16,5,2015
2015-04-18,0.355979166666667,"Githambara(T)",2015-04-18,2015-04-18,16,6,2015
2015-04-19,0.309375,"Githambara(T)",2015-04-19,2015-04-19,16,0,2015
2015-04-20,0.298104166666667,"Githambara(T)",2015-04-20,2015-04-20,17,1,2015
2015-04-21,0.302354166666667,"Githambara(T)",2015-04-21,2015-04-21,17,2,2015
2015-04-22,0.427916666666667,"Githambara(T)",2015-04-22,2015-04-22,17,3,2015
2015-04-23,0.3825,"Githambara(T)",2015-04-23,2015-04-23,17,4,2015
2015-04-24,0.4603125,"Githambara(T)",2015-04-24,2015-04-24,17,5,2015
2015-04-25,0.370083333333333,"Githambara(T)",2015-04-25,2015-04-25,17,6,2015
2015-04-26,0.347979166666667,"Githambara(T)",2015-04-26,2015-04-26,17,0,2015
2015-04-27,0.459604166666667,"Githambara(T)",2015-04-27,2015-04-27,18,1,2015
2015-04-28,0.3778125,"Githambara(T)",2015-04-28,2015-04-28,18,2,2015
2015-04-29,0.367625,"Githambara(T)",2015-04-29,2015-04-29,18,3,2015
2015-04-30,0.383479166666667,"Githambara(T)",2015-04-30,2015-04-30,18,4,2015
2015-05-01,0.385208333333333,"Githambara(T)",2015-05-01,2015-05-01,18,5,2015
2015-05-02,0.468541666666667,"Githambara(T)",2015-05-02,2015-05-02,18,6,2015
2015-05-03,0.4126875,"Githambara(T)",2015-05-03,2015-05-03,18,0,2015
2015-05-04,0.440479166666667,"Githambara(T)",2015-05-04,2015-05-04,19,1,2015
2015-05-05,0.438354166666667,"Githambara(T)",2015-05-05,2015-05-05,19,2,2015
2015-05-06,0.412645833333333,"Githambara(T)",2015-05-06,2015-05-06,19,3,2015
2015-05-07,0.406770833333333,"Githambara(T)",2015-05-07,2015-05-07,19,4,2015
2015-05-08,0.406354166666667,"Githambara(T)",2015-05-08,2015-05-08,19,5,2015
2015-05-09,0.455958333333333,"Githambara(T)",2015-05-09,2015-05-09,19,6,2015
2015-05-10,0.388520833333333,"Githambara(T)",2015-05-10,2015-05-10,19,0,2015
2015-05-11,0.443229166666667,"Githambara(T)",2015-05-11,2015-05-11,20,1,2015
2015-05-12,0.421416666666667,"Githambara(T)",2015-05-12,2015-05-12,20,2,2015
2015-05-13,0.430041666666667,"Githambara(T)",2015-05-13,2015-05-13,20,3,2015
2015-05-14,0.480916666666667,"Githambara(T)",2015-05-14,2015-05-14,20,4,2015
2015-05-15,0.424395833333333,"Githambara(T)",2015-05-15,2015-05-15,20,5,2015
2015-05-16,0.425375,"Githambara(T)",2015-05-16,2015-05-16,20,6,2015
2015-05-17,0.416333333333333,"Githambara(T)",2015-05-17,2015-05-17,20,0,2015
2015-05-18,0.420020833333333,"Githambara(T)",2015-05-18,2015-05-18,21,1,2015
2015-05-19,0.42325,"Githambara(T)",2015-05-19,2015-05-19,21,2,2015
2015-05-20,0.422375,"Githambara(T)",2015-05-20,2015-05-20,21,3,2015
2015-05-21,0.427375,"Githambara(T)",2015-05-21,2015-05-21,21,4,2015
2015-05-22,0.432729166666667,"Githambara(T)",2015-05-22,2015-05-22,21,5,2015
2015-05-23,0.4320625,"Githambara(T)",2015-05-23,2015-05-23,21,6,2015
2015-05-24,0.4164375,"Githambara(T)",2015-05-24,2015-05-24,21,0,2015
2015-05-25,0.4141875,"Githambara(T)",2015-05-25,2015-05-25,22,1,2015
2015-05-26,0.4150625,"Githambara(T)",2015-05-26,2015-05-26,22,2,2015
2015-05-27,0.4121875,"Githambara(T)",2015-05-27,2015-05-27,22,3,2015
2015-05-28,0.407791666666667,"Githambara(T)",2015-05-28,2015-05-28,22,4,2015
2015-05-29,0.405145833333333,"Githambara(T)",2015-05-29,2015-05-29,22,5,2015
2015-05-30,0.43175,"Githambara(T)",2015-05-30,2015-05-30,22,6,2015
2015-05-31,0.475395833333333,"Githambara(T)",2015-05-31,2015-05-31,22,0,2015
2015-06-01,0.513083333333333,"Githambara(T)",2015-06-01,2015-06-01,23,1,2015
2015-06-02,0.49575,"Githambara(T)",2015-06-02,2015-06-02,23,2,2015
2015-06-03,0.463916666666667,"Githambara(T)",2015-06-03,2015-06-03,23,3,2015
2015-06-04,0.445395833333333,"Githambara(T)",2015-06-04,2015-06-04,23,4,2015
2015-06-05,0.456625,"Githambara(T)",2015-06-05,2015-06-05,23,5,2015
2015-06-06,0.482020833333333,"Githambara(T)",2015-06-06,2015-06-06,23,6,2015
2015-06-07,0.457208333333333,"Githambara(T)",2015-06-07,2015-06-07,23,0,2015
2015-06-08,0.4551875,"Githambara(T)",2015-06-08,2015-06-08,24,1,2015
