"Date","TSS","watershed","DDate"
2014-05-06,9,"Githambara(T)",2014-05-06
2014-05-11,20,"Githambara(T)",2014-05-11
2015-05-06,59.32,"Githambara(T)",2015-05-06
2015-05-08,42.53,"Githambara(T)",2015-05-08
2015-05-09,22.6,"Githambara(T)",2015-05-09
2015-05-10,22.91,"Githambara(T)",2015-05-10
2015-05-11,152.28,"Githambara(T)",2015-05-11
2015-05-12,96.8966666666667,"Githambara(T)",2015-05-12
2016-05-01,96.08,"Githambara(T)",2016-05-01
2016-05-11,13.3,"Githambara(T)",2016-05-11
2017-05-11,143,"Githambara(T)",2017-05-11
2019-05-05,60,"Githambara(T)",2019-05-05
2019-05-06,15.1611111111111,"Githambara(T)",2019-05-06
2019-05-10,22.5,"Githambara(T)",2019-05-10
2019-05-12,46.68,"Githambara(T)",2019-05-12
