"Date","TSS","watershed","DDate","as.POSIXct(strptime(Conclusion1K$Date, ""%Y-%m-%d""))"
2014-06-18,34,"Karurumo(C)",2014-06-18,2014-06-18
2014-11-14,130,"Karurumo(C)",2014-11-14,2014-11-14
2015-01-16,25,"Karurumo(C)",2015-01-16,2015-01-16
2015-07-14,56.44,"Karurumo(C)",2015-07-14,2015-07-14
2015-07-23,42.2,"Karurumo(C)",2015-07-23,2015-07-23
2015-08-12,45.46,"Karurumo(C)",2015-08-12,2015-08-12
2015-08-19,48.76,"Karurumo(C)",2015-08-19,2015-08-19
2015-09-11,38.28,"Karurumo(C)",2015-09-11,2015-09-11
2015-09-24,56,"Karurumo(C)",2015-09-24,2015-09-24
2015-10-27,14.28,"Karurumo(C)",2015-10-27,2015-10-27
2015-11-16,184.36,"Karurumo(C)",2015-11-16,2015-11-16
2015-12-01,50,"Karurumo(C)",2015-12-01,2015-12-01
2015-12-02,57.92,"Karurumo(C)",2015-12-02,2015-12-02
2015-12-17,69.16,"Karurumo(C)",2015-12-17,2015-12-17
2016-01-18,156.32,"Karurumo(C)",2016-01-18,2016-01-18
2016-01-28,70.54,"Karurumo(C)",2016-01-28,2016-01-28
2016-04-01,172,"Karurumo(C)",2016-04-01,2016-04-01
2016-04-02,131.666666666667,"Karurumo(C)",2016-04-02,2016-04-02
2016-04-03,116.446666666667,"Karurumo(C)",2016-04-03,2016-04-03
2016-04-04,104.89,"Karurumo(C)",2016-04-04,2016-04-04
2016-04-12,131.2,"Karurumo(C)",2016-04-12,2016-04-12
2016-04-13,196.4125,"Karurumo(C)",2016-04-13,2016-04-13
2016-04-14,149.833333333333,"Karurumo(C)",2016-04-14,2016-04-14
2016-04-15,190.5425,"Karurumo(C)",2016-04-15,2016-04-15
2016-04-16,103.663333333333,"Karurumo(C)",2016-04-16,2016-04-16
2016-04-18,186.333333333333,"Karurumo(C)",2016-04-18,2016-04-18
2016-04-19,215,"Karurumo(C)",2016-04-19,2016-04-19
2016-04-20,129.266,"Karurumo(C)",2016-04-20,2016-04-20
2016-04-21,124.134,"Karurumo(C)",2016-04-21,2016-04-21
2016-04-22,104.223333333333,"Karurumo(C)",2016-04-22,2016-04-22
2016-04-23,102.443333333333,"Karurumo(C)",2016-04-23,2016-04-23
2016-04-25,183.556666666667,"Karurumo(C)",2016-04-25,2016-04-25
2016-04-26,164.466,"Karurumo(C)",2016-04-26,2016-04-26
2016-04-28,214.632,"Karurumo(C)",2016-04-28,2016-04-28
2016-04-29,251.333333333333,"Karurumo(C)",2016-04-29,2016-04-29
2016-04-30,189.333333333333,"Karurumo(C)",2016-04-30,2016-04-30
2016-05-04,174,"Karurumo(C)",2016-05-04,2016-05-04
2016-05-05,132.166666666667,"Karurumo(C)",2016-05-05,2016-05-05
2016-05-06,179.6,"Karurumo(C)",2016-05-06,2016-05-06
2016-05-07,153.333333333333,"Karurumo(C)",2016-05-07,2016-05-07
2016-05-10,174.666666666667,"Karurumo(C)",2016-05-10,2016-05-10
2016-05-11,113.1,"Karurumo(C)",2016-05-11,2016-05-11
2016-05-12,103.5825,"Karurumo(C)",2016-05-12,2016-05-12
2016-05-13,95.3,"Karurumo(C)",2016-05-13,2016-05-13
2016-05-14,117.666666666667,"Karurumo(C)",2016-05-14,2016-05-14
2016-05-15,115,"Karurumo(C)",2016-05-15,2016-05-15
2016-05-16,141.333333333333,"Karurumo(C)",2016-05-16,2016-05-16
2016-05-17,124.666666666667,"Karurumo(C)",2016-05-17,2016-05-17
2016-05-19,121,"Karurumo(C)",2016-05-19,2016-05-19
2016-11-07,56.7,"Karurumo(C)",2016-11-07,2016-11-07
2017-11-16,111,"Karurumo(C)",2017-11-16,2017-11-16
2018-04-02,280,"Karurumo(C)",2018-04-02,2018-04-02
2018-04-18,63,"Karurumo(C)",2018-04-18,2018-04-18
2018-04-19,84.6153846153846,"Karurumo(C)",2018-04-19,2018-04-19
2018-04-20,96.3636363636364,"Karurumo(C)",2018-04-20,2018-04-20
2018-04-21,261,"Karurumo(C)",2018-04-21,2018-04-21
2018-04-22,315,"Karurumo(C)",2018-04-22,2018-04-22
2018-04-23,83.8461538461538,"Karurumo(C)",2018-04-23,2018-04-23
2018-04-24,320,"Karurumo(C)",2018-04-24,2018-04-24
2018-05-03,225,"Karurumo(C)",2018-05-03,2018-05-03
2018-05-04,162.857142857143,"Karurumo(C)",2018-05-04,2018-05-04
2018-05-05,141.666666666667,"Karurumo(C)",2018-05-05,2018-05-05
2018-05-06,165,"Karurumo(C)",2018-05-06,2018-05-06
2018-05-07,175.833333333333,"Karurumo(C)",2018-05-07,2018-05-07
2018-05-08,220.625,"Karurumo(C)",2018-05-08,2018-05-08
2018-05-09,195.833333333333,"Karurumo(C)",2018-05-09,2018-05-09
2018-05-21,240,"Karurumo(C)",2018-05-21,2018-05-21
2019-06-06,94.9846153846154,"Karurumo(C)",2019-06-06,2019-06-06
2019-06-07,89.9076923076923,"Karurumo(C)",2019-06-07,2019-06-07
2019-06-08,140.25,"Karurumo(C)",2019-06-08,2019-06-08
2019-12-09,77.2,"Karurumo(C)",2019-12-09,2019-12-09
2019-12-17,106,"Karurumo(C)",2019-12-17,2019-12-17
2019-12-18,72,"Karurumo(C)",2019-12-18,2019-12-18
2019-12-19,78.8,"Karurumo(C)",2019-12-19,2019-12-19
2019-12-20,41.6,"Karurumo(C)",2019-12-20,2019-12-20
2019-12-21,52.2,"Karurumo(C)",2019-12-21,2019-12-21
