"Date","Turbidity","watershed","DDate"
2014-06-18,113,"Karurumo(C)",2014-06-18
2014-11-14,233,"Karurumo(C)",2014-11-14
2015-01-16,5.76,"Karurumo(C)",2015-01-16
2015-06-18,132.33,"Karurumo(C)",2015-06-18
2015-07-14,104,"Karurumo(C)",2015-07-14
2015-07-23,87.6,"Karurumo(C)",2015-07-23
2015-08-06,138.45,"Karurumo(C)",2015-08-06
2015-08-12,84.37,"Karurumo(C)",2015-08-12
2015-08-19,87.53,"Karurumo(C)",2015-08-19
2015-09-11,90.77,"Karurumo(C)",2015-09-11
2015-09-24,50.03,"Karurumo(C)",2015-09-24
2015-10-08,58.9,"Karurumo(C)",2015-10-08
2015-10-27,48.83,"Karurumo(C)",2015-10-27
2015-11-16,426.33,"Karurumo(C)",2015-11-16
2015-12-01,30.2,"Karurumo(C)",2015-12-01
2015-12-02,187,"Karurumo(C)",2015-12-02
2015-12-17,190.67,"Karurumo(C)",2015-12-17
2016-01-18,344.67,"Karurumo(C)",2016-01-18
2016-01-28,122,"Karurumo(C)",2016-01-28
2016-02-05,55.5114285714286,"Karurumo(C)",2016-02-05
2016-02-11,98.47,"Karurumo(C)",2016-02-11
2016-02-24,86.07,"Karurumo(C)",2016-02-24
2016-04-01,327.333333333333,"Karurumo(C)",2016-04-01
2016-04-02,351.666666666667,"Karurumo(C)",2016-04-02
2016-04-03,217.666666666667,"Karurumo(C)",2016-04-03
2016-04-04,211,"Karurumo(C)",2016-04-04
2016-04-12,561.5,"Karurumo(C)",2016-04-12
2016-04-13,370.925,"Karurumo(C)",2016-04-13
2016-04-15,281.25,"Karurumo(C)",2016-04-15
2016-04-16,162.333333333333,"Karurumo(C)",2016-04-16
2016-04-17,528.666666666667,"Karurumo(C)",2016-04-17
2016-04-18,296.333333333333,"Karurumo(C)",2016-04-18
2016-04-19,383,"Karurumo(C)",2016-04-19
2016-04-20,169.6,"Karurumo(C)",2016-04-20
2016-04-21,183.8,"Karurumo(C)",2016-04-21
2016-04-22,148,"Karurumo(C)",2016-04-22
2016-04-23,153.333333333333,"Karurumo(C)",2016-04-23
2016-04-25,544.333333333333,"Karurumo(C)",2016-04-25
2016-04-26,326.8,"Karurumo(C)",2016-04-26
2016-04-28,429.2,"Karurumo(C)",2016-04-28
2016-04-29,492.666666666667,"Karurumo(C)",2016-04-29
2016-04-30,290.333333333333,"Karurumo(C)",2016-04-30
2016-05-04,233,"Karurumo(C)",2016-05-04
2016-05-05,214.333333333333,"Karurumo(C)",2016-05-05
2016-05-06,307.666666666667,"Karurumo(C)",2016-05-06
2016-05-07,267,"Karurumo(C)",2016-05-07
2016-05-08,229,"Karurumo(C)",2016-05-08
2016-05-10,270,"Karurumo(C)",2016-05-10
2016-05-11,192.5,"Karurumo(C)",2016-05-11
2016-05-12,168.25,"Karurumo(C)",2016-05-12
2016-05-13,178.5,"Karurumo(C)",2016-05-13
2016-05-14,215,"Karurumo(C)",2016-05-14
2016-05-15,195.666666666667,"Karurumo(C)",2016-05-15
2016-05-16,200.666666666667,"Karurumo(C)",2016-05-16
2016-05-17,190.333333333333,"Karurumo(C)",2016-05-17
2016-05-19,226,"Karurumo(C)",2016-05-19
2016-11-07,82.6,"Karurumo(C)",2016-11-07
2017-11-16,333,"Karurumo(C)",2017-11-16
2018-08-08,90.6,"Karurumo(C)",2018-08-08
2018-09-19,16,"Karurumo(C)",2018-09-19
2019-03-27,13.7,"Karurumo(C)",2019-03-27
2019-06-06,342.461538461538,"Karurumo(C)",2019-06-06
2019-06-07,330.569230769231,"Karurumo(C)",2019-06-07
2019-06-08,276.7,"Karurumo(C)",2019-06-08
2019-10-15,27.86,"Karurumo(C)",2019-10-15
2019-12-09,232,"Karurumo(C)",2019-12-09
2019-12-17,209,"Karurumo(C)",2019-12-17
2019-12-18,187,"Karurumo(C)",2019-12-18
2019-12-19,203,"Karurumo(C)",2019-12-19
2019-12-20,168,"Karurumo(C)",2019-12-20
2019-12-21,309,"Karurumo(C)",2019-12-21
