"Date","waterLevel","watershed","DDate","week","wday","year"
2015-04-01,0.264416666666667,"Mbogiti(T)",2015-04-01,14,3,2015
2015-04-02,0.2508125,"Mbogiti(T)",2015-04-02,14,4,2015
2015-04-03,0.236270833333333,"Mbogiti(T)",2015-04-03,14,5,2015
2015-04-04,0.245,"Mbogiti(T)",2015-04-04,14,6,2015
2015-04-05,0.278645833333333,"Mbogiti(T)",2015-04-05,14,0,2015
2015-04-06,0.269458333333333,"Mbogiti(T)",2015-04-06,15,1,2015
2015-04-07,0.260708333333333,"Mbogiti(T)",2015-04-07,15,2,2015
2015-04-08,0.259604166666667,"Mbogiti(T)",2015-04-08,15,3,2015
2015-04-09,0.275583333333333,"Mbogiti(T)",2015-04-09,15,4,2015
2015-04-10,0.269208333333333,"Mbogiti(T)",2015-04-10,15,5,2015
2015-04-11,0.270729166666667,"Mbogiti(T)",2015-04-11,15,6,2015
2015-04-12,0.270916666666667,"Mbogiti(T)",2015-04-12,15,0,2015
2015-04-13,0.2655,"Mbogiti(T)",2015-04-13,16,1,2015
2015-04-14,0.279,"Mbogiti(T)",2015-04-14,16,2,2015
2015-04-15,0.2899375,"Mbogiti(T)",2015-04-15,16,3,2015
2015-04-16,0.3065,"Mbogiti(T)",2015-04-16,16,4,2015
2015-04-17,0.325979166666667,"Mbogiti(T)",2015-04-17,16,5,2015
2015-04-18,0.313854166666667,"Mbogiti(T)",2015-04-18,16,6,2015
2015-04-19,0.284875,"Mbogiti(T)",2015-04-19,16,0,2015
2015-04-20,0.291979166666667,"Mbogiti(T)",2015-04-20,17,1,2015
2015-04-21,0.294041666666667,"Mbogiti(T)",2015-04-21,17,2,2015
2015-04-22,0.294895833333333,"Mbogiti(T)",2015-04-22,17,3,2015
2015-04-23,0.29525,"Mbogiti(T)",2015-04-23,17,4,2015
2015-04-24,0.310958333333333,"Mbogiti(T)",2015-04-24,17,5,2015
2015-04-25,0.285854166666667,"Mbogiti(T)",2015-04-25,17,6,2015
2015-04-26,0.279875,"Mbogiti(T)",2015-04-26,17,0,2015
2015-04-27,0.296916666666667,"Mbogiti(T)",2015-04-27,18,1,2015
2015-04-28,0.333395833333333,"Mbogiti(T)",2015-04-28,18,2,2015
2015-04-29,0.317270833333333,"Mbogiti(T)",2015-04-29,18,3,2015
2015-04-30,0.307270833333333,"Mbogiti(T)",2015-04-30,18,4,2015
2015-05-01,0.304375,"Mbogiti(T)",2015-05-01,18,5,2015
2015-05-02,0.3265625,"Mbogiti(T)",2015-05-02,18,6,2015
2015-05-03,0.333645833333333,"Mbogiti(T)",2015-05-03,18,0,2015
2015-05-04,0.318583333333333,"Mbogiti(T)",2015-05-04,19,1,2015
2015-05-05,0.335416666666667,"Mbogiti(T)",2015-05-05,19,2,2015
2015-05-06,0.313520833333333,"Mbogiti(T)",2015-05-06,19,3,2015
2015-05-07,0.316270833333333,"Mbogiti(T)",2015-05-07,19,4,2015
2015-05-08,0.330125,"Mbogiti(T)",2015-05-08,19,5,2015
2015-05-09,0.336,"Mbogiti(T)",2015-05-09,19,6,2015
2015-05-10,0.324541666666667,"Mbogiti(T)",2015-05-10,19,0,2015
2015-05-11,0.3313125,"Mbogiti(T)",2015-05-11,20,1,2015
2015-05-12,0.339979166666667,"Mbogiti(T)",2015-05-12,20,2,2015
2015-05-13,0.336416666666667,"Mbogiti(T)",2015-05-13,20,3,2015
2015-05-14,0.343458333333333,"Mbogiti(T)",2015-05-14,20,4,2015
2015-05-15,0.347770833333333,"Mbogiti(T)",2015-05-15,20,5,2015
2015-05-16,0.349104166666667,"Mbogiti(T)",2015-05-16,20,6,2015
