"Date","TSS","watershed","DDate"
2014-06-17,32,"Mbogiti(T)",2014-06-17
2014-12-11,20,"Mbogiti(T)",2014-12-11
2015-01-13,5,"Mbogiti(T)",2015-01-13
2015-07-10,10.56,"Mbogiti(T)",2015-07-10
2015-07-21,21.42,"Mbogiti(T)",2015-07-21
2015-08-07,24.84,"Mbogiti(T)",2015-08-07
2015-08-24,2.24,"Mbogiti(T)",2015-08-24
2015-09-14,3.12,"Mbogiti(T)",2015-09-14
2015-09-21,18,"Mbogiti(T)",2015-09-21
2015-10-05,30,"Mbogiti(T)",2015-10-05
2015-10-28,19.9,"Mbogiti(T)",2015-10-28
2015-11-13,29.72,"Mbogiti(T)",2015-11-13
2015-12-03,6.68,"Mbogiti(T)",2015-12-03
2015-12-16,8.76,"Mbogiti(T)",2015-12-16
2016-01-14,4.64,"Mbogiti(T)",2016-01-14
2016-01-27,6.82,"Mbogiti(T)",2016-01-27
2016-04-12,65.85,"Mbogiti(T)",2016-04-12
2016-04-13,39,"Mbogiti(T)",2016-04-13
2016-04-14,28.75,"Mbogiti(T)",2016-04-14
2016-04-20,35.5,"Mbogiti(T)",2016-04-20
2016-04-25,38.82,"Mbogiti(T)",2016-04-25
2016-04-26,42.75,"Mbogiti(T)",2016-04-26
2016-04-27,29.4666666666667,"Mbogiti(T)",2016-04-27
2016-04-28,30.5666666666667,"Mbogiti(T)",2016-04-28
2016-05-04,56,"Mbogiti(T)",2016-05-04
2016-05-06,61,"Mbogiti(T)",2016-05-06
2016-05-07,33.6,"Mbogiti(T)",2016-05-07
2016-05-11,27.1,"Mbogiti(T)",2016-05-11
2016-05-12,20.175,"Mbogiti(T)",2016-05-12
2016-05-16,12.28,"Mbogiti(T)",2016-05-16
2016-05-18,12.36,"Mbogiti(T)",2016-05-18
2016-11-02,6.7,"Mbogiti(T)",2016-11-02
2017-11-20,21,"Mbogiti(T)",2017-11-20
2018-04-06,60,"Mbogiti(T)",2018-04-06
2018-04-19,29.2592592592593,"Mbogiti(T)",2018-04-19
2018-04-20,16.4,"Mbogiti(T)",2018-04-20
2018-04-21,15.8333333333333,"Mbogiti(T)",2018-04-21
2018-04-23,20,"Mbogiti(T)",2018-04-23
2018-05-01,0,"Mbogiti(T)",2018-05-01
2018-05-02,20,"Mbogiti(T)",2018-05-02
2018-05-03,12,"Mbogiti(T)",2018-05-03
2018-05-04,10,"Mbogiti(T)",2018-05-04
2018-05-05,35,"Mbogiti(T)",2018-05-05
2018-05-06,30,"Mbogiti(T)",2018-05-06
2018-05-07,8.35,"Mbogiti(T)",2018-05-07
2018-05-21,0,"Mbogiti(T)",2018-05-21
2018-05-25,0,"Mbogiti(T)",2018-05-25
2018-05-28,8,"Mbogiti(T)",2018-05-28
2019-06-06,5.68888888888889,"Mbogiti(T)",2019-06-06
2019-06-07,7.21666666666667,"Mbogiti(T)",2019-06-07
2019-06-08,10.45,"Mbogiti(T)",2019-06-08
2019-10-16,35,"Mbogiti(T)",2019-10-16
2019-11-29,0.8,"Mbogiti(T)",2019-11-29
2019-12-10,3.8,"Mbogiti(T)",2019-12-10
2019-12-11,2.2,"Mbogiti(T)",2019-12-11
2019-12-17,3.8,"Mbogiti(T)",2019-12-17
2019-12-18,1.4,"Mbogiti(T)",2019-12-18
2019-12-20,0.8,"Mbogiti(T)",2019-12-20
2019-12-21,1.1,"Mbogiti(T)",2019-12-21
