"Date","Average_by_day_and_year","watershed"
2014-06-17,8.78,"Mbogiti(T)"
2014-12-11,8.36,"Mbogiti(T)"
2015-01-13,2.22,"Mbogiti(T)"
2015-05-26,NA,"Mbogiti(T)"
2015-05-27,8.45857142857143,"Mbogiti(T)"
2015-06-16,7.43,"Mbogiti(T)"
2015-07-10,25.5,"Mbogiti(T)"
2015-07-21,13.57,"Mbogiti(T)"
2015-08-07,26.53,"Mbogiti(T)"
2015-08-24,3.01,"Mbogiti(T)"
2015-09-14,4.98,"Mbogiti(T)"
2015-09-21,3.18,"Mbogiti(T)"
2015-10-05,3.85,"Mbogiti(T)"
2015-10-28,19.43,"Mbogiti(T)"
2015-11-12,44.7,"Mbogiti(T)"
2015-11-13,24.8,"Mbogiti(T)"
2015-12-03,7.78,"Mbogiti(T)"
2015-12-16,10.28,"Mbogiti(T)"
2016-01-14,5.53,"Mbogiti(T)"
2016-01-27,7.21,"Mbogiti(T)"
2016-02-03,5.34,"Mbogiti(T)"
2016-02-09,6.98,"Mbogiti(T)"
2016-02-12,15.3,"Mbogiti(T)"
2016-02-25,6.71,"Mbogiti(T)"
2016-04-12,106.552,"Mbogiti(T)"
2016-04-13,NA,"Mbogiti(T)"
2016-04-14,83.37,"Mbogiti(T)"
2016-04-20,26.1,"Mbogiti(T)"
2016-04-24,42.36,"Mbogiti(T)"
2016-04-25,22.36,"Mbogiti(T)"
2016-04-26,19,"Mbogiti(T)"
2016-04-27,13.8333333333333,"Mbogiti(T)"
2016-04-28,32.4416666666667,"Mbogiti(T)"
2016-05-04,25.8,"Mbogiti(T)"
2016-05-06,31.25,"Mbogiti(T)"
2016-05-07,20.14,"Mbogiti(T)"
2016-05-11,16.95,"Mbogiti(T)"
2016-05-12,7.94,"Mbogiti(T)"
2016-05-16,5.85,"Mbogiti(T)"
2016-05-18,4.756,"Mbogiti(T)"
2016-11-02,7.5,"Mbogiti(T)"
2017-03-29,1.3,"Mbogiti(T)"
2017-11-20,3.4,"Mbogiti(T)"
2018-03-05,7.96,"Mbogiti(T)"
2018-04-01,NA,"Mbogiti(T)"
2018-04-05,3.66,"Mbogiti(T)"
2018-04-06,NA,"Mbogiti(T)"
2018-04-18,NA,"Mbogiti(T)"
2018-04-19,NA,"Mbogiti(T)"
2018-04-20,NA,"Mbogiti(T)"
2018-04-21,NA,"Mbogiti(T)"
2018-04-23,NA,"Mbogiti(T)"
2018-04-30,NA,"Mbogiti(T)"
2018-05-01,NA,"Mbogiti(T)"
2018-05-02,NA,"Mbogiti(T)"
2018-05-03,NA,"Mbogiti(T)"
2018-05-04,NA,"Mbogiti(T)"
2018-05-05,NA,"Mbogiti(T)"
2018-05-06,NA,"Mbogiti(T)"
2018-05-07,NA,"Mbogiti(T)"
2018-05-08,NA,"Mbogiti(T)"
2018-05-21,NA,"Mbogiti(T)"
2018-05-25,NA,"Mbogiti(T)"
2018-05-28,NA,"Mbogiti(T)"
2018-07-08,8.37,"Mbogiti(T)"
2018-08-05,2.43,"Mbogiti(T)"
2018-09-18,NA,"Mbogiti(T)"
2019-02-20,4.27,"Mbogiti(T)"
2019-03-28,11,"Mbogiti(T)"
2019-06-06,11.1677777777778,"Mbogiti(T)"
2019-06-07,12.1975,"Mbogiti(T)"
2019-06-08,12.1033333333333,"Mbogiti(T)"
2019-10-16,2.26,"Mbogiti(T)"
2019-11-29,0,"Mbogiti(T)"
2019-12-10,0,"Mbogiti(T)"
2019-12-11,0,"Mbogiti(T)"
2019-12-17,0,"Mbogiti(T)"
2019-12-18,0,"Mbogiti(T)"
2019-12-20,0,"Mbogiti(T)"
2019-12-21,0,"Mbogiti(T)"
NA,NA,"Mbogiti(T)"
