"Date","TSS","watershed","DDate"
2014-06-17,5,"Thika-Valley(C)",2014-06-17
2014-12-11,10,"Thika-Valley(C)",2014-12-11
2015-01-13,20,"Thika-Valley(C)",2015-01-13
2015-07-08,8.96,"Thika-Valley(C)",2015-07-08
2015-07-10,6.86,"Thika-Valley(C)",2015-07-10
2015-08-24,2.36,"Thika-Valley(C)",2015-08-24
2015-09-14,1.86,"Thika-Valley(C)",2015-09-14
2015-09-21,6,"Thika-Valley(C)",2015-09-21
2015-10-05,15,"Thika-Valley(C)",2015-10-05
2015-10-28,3.92,"Thika-Valley(C)",2015-10-28
2015-11-12,4.64,"Thika-Valley(C)",2015-11-12
2015-11-13,4.12,"Thika-Valley(C)",2015-11-13
2015-12-03,3.4,"Thika-Valley(C)",2015-12-03
2015-12-16,2.72,"Thika-Valley(C)",2015-12-16
2016-04-13,16,"Thika-Valley(C)",2016-04-13
2016-04-14,11.2,"Thika-Valley(C)",2016-04-14
2016-04-15,5.66666666666667,"Thika-Valley(C)",2016-04-15
2016-04-16,13.1533333333333,"Thika-Valley(C)",2016-04-16
2016-04-20,6,"Thika-Valley(C)",2016-04-20
2016-04-27,8.4,"Thika-Valley(C)",2016-04-27
2016-05-05,4.6,"Thika-Valley(C)",2016-05-05
2016-05-07,15.4,"Thika-Valley(C)",2016-05-07
2016-05-08,14.7,"Thika-Valley(C)",2016-05-08
2016-05-09,6.04,"Thika-Valley(C)",2016-05-09
2016-05-10,12,"Thika-Valley(C)",2016-05-10
2016-05-11,6.2,"Thika-Valley(C)",2016-05-11
2016-05-12,5,"Thika-Valley(C)",2016-05-12
2016-05-14,1.64,"Thika-Valley(C)",2016-05-14
2016-05-15,2.12,"Thika-Valley(C)",2016-05-15
2016-05-24,4.6,"Thika-Valley(C)",2016-05-24
2016-11-02,10,"Thika-Valley(C)",2016-11-02
2017-11-20,10,"Thika-Valley(C)",2017-11-20
2018-04-02,0,"Thika-Valley(C)",2018-04-02
2018-04-19,9.23076923076923,"Thika-Valley(C)",2018-04-19
2018-04-20,23.8461538461538,"Thika-Valley(C)",2018-04-20
2018-04-21,22.5,"Thika-Valley(C)",2018-04-21
2018-04-23,20,"Thika-Valley(C)",2018-04-23
2018-04-25,14.1666666666667,"Thika-Valley(C)",2018-04-25
2018-04-30,10,"Thika-Valley(C)",2018-04-30
2018-05-03,0,"Thika-Valley(C)",2018-05-03
2018-05-04,15,"Thika-Valley(C)",2018-05-04
2018-05-08,15,"Thika-Valley(C)",2018-05-08
2018-05-21,0,"Thika-Valley(C)",2018-05-21
2018-05-25,0,"Thika-Valley(C)",2018-05-25
2018-05-28,12,"Thika-Valley(C)",2018-05-28
2019-06-06,1.78181818181818,"Thika-Valley(C)",2019-06-06
2019-06-07,5.16923076923077,"Thika-Valley(C)",2019-06-07
2019-06-08,5.16666666666667,"Thika-Valley(C)",2019-06-08
2019-11-29,18.4,"Thika-Valley(C)",2019-11-29
2019-12-10,1.8,"Thika-Valley(C)",2019-12-10
2019-12-11,3.8,"Thika-Valley(C)",2019-12-11
2019-12-17,6.2,"Thika-Valley(C)",2019-12-17
2019-12-18,1,"Thika-Valley(C)",2019-12-18
2019-12-19,12.1,"Thika-Valley(C)",2019-12-19
2019-12-20,3.2,"Thika-Valley(C)",2019-12-20
